active,passive,verb,bad,exclude,match
The judge banished the thief.,The thief was banished by the judge.,banish,,,True
The queen banished the advisor.,The advisor was banished by the queen.,banish,,,True
The army banished the invaders.,The invaders were banished by the army.,banish,,,True
The tribe banished the outcast.,The outcast was banished by the tribe.,banish,,,True
The ruler banished the rebel.,The rebel was banished by the ruler.,banish,,,True
The thief robbed the bank.,The bank was robbed by the thief.,rob,,,True
A man robbed the convenience store.,The convenience store was robbed by a man.,rob,,,True
The gang robbed the museum.,The museum was robbed by the gang.,rob,,,True
The robber robbed the old lady.,The old lady was robbed by the robber.,rob,,,True
The burglar robbed the house.,The house was robbed by the burglar.,rob,,,True
Someone robbed the jewelry store.,The jewelry store was robbed by someone.,rob,,,True
A stranger robbed the tourist.,The tourist was robbed by a stranger.,rob,,,True
The crew robbed the ship.,The ship was robbed by the crew.,rob,,,True
A masked man robbed the gas station.,The gas station was robbed by a masked man.,rob,,,True
The teacher rewarded the students.,The students were rewarded by the teacher.,reward,,,True
The manager rewarded the employee.,The employee was rewarded by the manager.,reward,,,True
The committee rewarded the volunteers.,The volunteers were rewarded by the committee.,reward,,,True
The coach rewarded the players.,The players were rewarded by the coach.,reward,,,True
The organization rewarded the contributors.,The contributors were rewarded by the organization.,reward,,,True
The book fair rewarded the readers.,The readers were rewarded by the book fair.,reward,,,True
The charity rewarded the donors.,The donors were rewarded by the charity.,reward,,,True
The artist rewarded the fans.,The fans were rewarded by the artist.,reward,,,True
The festival rewarded the winners.,The winners were rewarded by the festival.,reward,,,True
The couple divorced last year.,The couple was divorced last year.,divorce,x,,False
The lawyer divorced his client.,The client was divorced by the lawyer.,divorce,,,False
The couple divorced after ten years.,The couple was divorced after ten years.,divorce,x,,False
John divorced his wife.,The wife was divorced by John.,divorce,,,False
They divorced in the summer.,The summer saw their divorce.,divorce,x,,False
The parents divorced amicably.,The parents were divorced amicably.,divorce,x,,False
She divorced her husband.,Her husband was divorced by her.,divorce,x,,False
The couple divorced without issues.,The couple was divorced without issues.,divorce,x,,False
The partners divorced peacefully.,The partners were divorced peacefully.,divorce,x,,False
The teacher complimented the student.  ,The student was complimented by the teacher.,compliment,,,True
A friend complimented the artwork.  ,The artwork was complimented by a friend.,compliment,,,True
The manager complimented the team.  ,The team was complimented by the manager.,compliment,,,True
The parent complimented the child's performance.  ,The child's performance was complimented by the parent.,compliment,,,True
The judge complimented the lawyer.  ,The lawyer was complimented by the judge.,compliment,,,True
A stranger complimented the dress.  ,The dress was complimented by a stranger.,compliment,,,True
The critic complimented the film.  ,The film was complimented by the critic.,compliment,,,True
The coach complimented the athlete.  ,The athlete was complimented by the coach.,compliment,,,True
The customer complimented the service.  ,The service was complimented by the customer.,compliment,,,True
The teacher congratulated the student.,The student was congratulated by the teacher.,congratulate,,,True
A friend congratulated the winner.,The winner was congratulated by a friend.,congratulate,,,True
The coach congratulated the team.,The team was congratulated by the coach.,congratulate,,,True
The parents congratulated their child.,The child was congratulated by the parents.,congratulate,,,False
Everyone congratulated the new president.,The new president was congratulated by everyone.,congratulate,,,True
The principal congratulated the graduates.,The graduates were congratulated by the principal.,congratulate,,,True
The reporter congratulated the athlete.,The athlete was congratulated by the reporter.,congratulate,,,True
The boss congratulated the employee.,The employee was congratulated by the boss.,congratulate,,,True
The crowd congratulated the performer.,The performer was congratulated by the crowd.,congratulate,,,True
The teacher excused the student.,The student was excused by the teacher.,excuse,,,True
The manager excused the late arrival.,The late arrival was excused by the manager.,excuse,,,True
The committee excused the absence.,The absence was excused by the committee.,excuse,,,True
The judge excused the defendant.,The defendant was excused by the judge.,excuse,,,True
The parent excused the child’s behavior.,The child's behavior was excused by the parent.,excuse,,,False
The principal excused the missed homework.,The missed homework was excused by the principal.,excuse,,,True
The host excused the guests before dinner.,The guests were excused by the host before dinner.,excuse,,,True
The organizer excused the volunteers for their time.,The volunteers were excused by the organizer for their time.,excuse,,,True
The doctor excused the patient from work.,The patient was excused from work by the doctor.,excuse,,,True
The teacher forgave the student.,The student was forgiven by the teacher.,forgive,,,False
The mother forgave the child.,The child was forgiven by the mother.,forgive,,,False
The friend forgave the mistake.,The mistake was forgiven by the friend.,forgive,,,False
The leader forgave the traitor.,The traitor was forgiven by the leader.,forgive,,,False
The parent forgave the son.,The son was forgiven by the parent.,forgive,,,False
The coach forgave the error.,The error was forgiven by the coach.,forgive,,,False
The employer forgave the delay.,The delay was forgiven by the employer.,forgive,,,False
The neighbor forgave the noise.,The noise was forgiven by the neighbor.,forgive,,,False
The doctor forgave the patient.,The patient was forgiven by the doctor.,forgive,,,False
The teacher greeted the students.,The students were greeted by the teacher.,greet,,,True
The child greeted the neighbor.,The neighbor was greeted by the child.,greet,,,True
The host greeted the guests.,The guests were greeted by the host.,greet,,,True
The dog greeted the mailman.,The mailman was greeted by the dog.,greet,,,True
The employee greeted the client.,The client was greeted by the employee.,greet,,,True
The mother greeted the friend.,The friend was greeted by the mother.,greet,,,True
The athlete greeted the coach.,The coach was greeted by the athlete.,greet,,,True
The waiter greeted the diners.,The diners were greeted by the waiter.,greet,,,True
The soldier greeted the general.,The general was greeted by the soldier.,greet,,,True
The teacher praised the student.  ,The student was praised by the teacher.,praise,,,True
The coach praised the team.  ,The team was praised by the coach.,praise,,,True
The mother praised the child.  ,The child was praised by the mother.,praise,,,True
The critic praised the painting.  ,The painting was praised by the critic.,praise,,,True
The director praised the actor.  ,The actor was praised by the director.,praise,,,True
The audience praised the performance.  ,The performance was praised by the audience.,praise,,,True
The mentor praised the apprentice.  ,The apprentice was praised by the mentor.,praise,,,True
The author praised the editor.  ,The editor was praised by the author.,praise,,,True
The manager praised the employee.  ,The employee was praised by the manager.,praise,,,True
The teacher thanked the students.  ,The students were thanked by the teacher.,thank,,,True
The chef thanked the customers.  ,The customers were thanked by the chef.,thank,,,True
A friend thanked the host.  ,The host was thanked by a friend.,thank,,,True
The manager thanked the team.  ,The team was thanked by the manager.,thank,,,True
The father thanked his son.  ,The son was thanked by his father.,thank,x,,True
The speaker thanked the audience.  ,The audience was thanked by the speaker.,thank,,,True
The child thanked the librarian.  ,The librarian was thanked by the child.,thank,,,True
The artist thanked the critics.  ,The critics were thanked by the artist.,thank,,,True
The director thanked the crew.  ,The crew was thanked by the director.,thank,,,True
The hosts welcomed the guests.  ,The guests were welcomed by the hosts.,welcome,,,True
The team welcomed a new member.  ,The new member was welcomed by the team.,welcome,,,False
The city welcomed tourists warmly.  ,The tourists were welcomed warmly by the city.,welcome,,,False
The club welcomed new members.  ,The new members were welcomed by the club.,welcome,,,False
The mayor welcomed the visitors.  ,The visitors were welcomed by the mayor.,welcome,,,True
The organization welcomed donations.  ,The donations were welcomed by the organization.,welcome,,,False
The school welcomed parents at the event.  ,The parents were welcomed by the school at the event.,welcome,,,False
The restaurant welcomed diners to their tables.  ,The diners were welcomed to their tables by the restaurant.,welcome,,,False
The community welcomed volunteers with applause.  ,The volunteers were welcomed with applause by the community.,welcome,,,False
The teacher criticized the homework.,The homework was criticized by the teacher.,criticize,,,True
A journalist criticized the article.,The article was criticized by a journalist.,criticize,,,True
The coach criticized the players.,The players were criticized by the coach.,criticize,,,True
The manager criticized the report.,The report was criticized by the manager.,criticize,,,True
The parent criticized the performance.,The performance was criticized by the parent.,criticize,,,True
The actor criticized the script.,The script was criticized by the actor.,criticize,,,True
The reviewer criticized the movie.,The movie was criticized by the reviewer.,criticize,,,True
The leader criticized the proposal.,The proposal was criticized by the leader.,criticize,,,True
The professor criticized the thesis.,The thesis was criticized by the professor.,criticize,,,True
The critic insulted the actress.  ,The actress was insulted by the critic.,insult,,,True
The rude customer insulted the waiter.  ,The waiter was insulted by the rude customer.,insult,,,True
A student insulted the teacher.  ,The teacher was insulted by a student.,insult,,,True
They insulted the team during the game.  ,The team was insulted by them during the game.,insult,,,False
The neighbor insulted the gardener.  ,The gardener was insulted by the neighbor.,insult,,,True
The politician insulted his opponent.  ,The opponent was insulted by the politician.,insult,,,False
A friend insulted the chef.  ,The chef was insulted by a friend.,insult,,,True
The audience insulted the performer.  ,The performer was insulted by the audience.,insult,,,True
The child insulted the dog.  ,The dog was insulted by the child.,insult,,,True
The children mocked the teacher.  ,The teacher was mocked by the children.,mock,,,True
The comedian mocked the politician.  ,The politician was mocked by the comedian.,mock,,,True
A friend mocked the movie.  ,The movie was mocked by a friend.,mock,,,True
The crowd mocked the singer.  ,The singer was mocked by the crowd.,mock,,,True
The students mocked the assignment.  ,The assignment was mocked by the students.,mock,,,True
The audience mocked the performer.  ,The performer was mocked by the audience.,mock,,,True
The dog mocked the cat.  ,The cat was mocked by the dog.,mock,,,True
The critics mocked the play.  ,The play was mocked by the critics.,mock,,,True
The team mocked the opposing players.  ,The opposing players were mocked by the team.,mock,,,True
The teacher punished the student.  ,The student was punished by the teacher.,punish,,,True
The coach punished the player.  ,The player was punished by the coach.,punish,,,True
The judge punished the criminal.  ,The criminal was punished by the judge.,punish,,,True
The parent punished the child.  ,The child was punished by the parent.,punish,,,True
The principal punished the troublemakers.  ,The troublemakers were punished by the principal.,punish,,,True
The manager punished the employee.  ,The employee was punished by the manager.,punish,,,True
The officer punished the defendant.  ,The defendant was punished by the officer.,punish,,,True
The referee punished the athlete.  ,The athlete was punished by the referee.,punish,,,True
The school punished the offenders.  ,The offenders were punished by the school.,punish,,,True
The teacher scolded the student.,The student was scolded by the teacher.,scold,,,True
The parent scolded the child.,The child was scolded by the parent.,scold,,,True
The coach scolded the player.,The player was scolded by the coach.,scold,,,True
The manager scolded the employee.,The employee was scolded by the manager.,scold,,,True
The neighbor scolded the kids.,The kids were scolded by the neighbor.,scold,,,True
The officer scolded the suspect.,The suspect was scolded by the officer.,scold,,,True
The librarian scolded the noisy group.,The noisy group was scolded by the librarian.,scold,,,True
The friend scolded the prankster.,The prankster was scolded by the friend.,scold,,,True
The principal scolded the class.,The class was scolded by the principal.,scold,,,True
The teacher told off the student.,The student was told off by the teacher.,tell off,,?,True
The manager told off the employee.,The employee was told off by the manager.,tell off,,,True
The parent told off the child.,The child was told off by the parent.,tell off,,,True
The coach told off the player.,The player was told off by the coach.,tell off,,,True
The boss told off the intern.,The intern was told off by the boss.,tell off,,,True
The friend told off the teammate.,The teammate was told off by the friend.,tell off,,,True
The officer told off the suspect.,The suspect was told off by the officer.,tell off,,,True
The neighbor told off the noisy party.,The noisy party was told off by the neighbor.,tell off,,,True
The director told off the actor.,The actor was told off by the director.,tell off,,,True
The committee agreed with the proposal.,The proposal was agreed to by the committee.,agree with,,?,False
The teacher agreed with the student's answer.,The student's answer was agreed with by the teacher.,agree with,,,True
The partners agreed with the new strategy.,The new strategy was agreed upon by the partners.,agree with,,,False
The manager agreed with the feedback.,The feedback was agreed with by the manager.,agree with,,,True
The experts agreed with the findings.,The findings were agreed upon by the experts.,agree with,,,False
The friends agreed with the plan.,The plan was agreed with by the friends.,agree with,,,True
The researchers agreed with the conclusions.,The conclusions were agreed with by the researchers.,agree with,,,True
The council agreed with the budget.,The budget was agreed to by the council.,agree with,,,False
The parents agreed with the rules.,The rules were agreed to by the parents.,agree with,,,False
The lawyer argued with the judge.,The judge was argued with by the lawyer.,argue with,,?,True
The children argued with each other.,The children were argued with by each other.,argue with,,,True
The two friends argued with their parents.,The parents were argued with by the two friends.,argue with,x,,False
The cat argued with the dog.,The dog was argued with by the cat.,argue with,,,True
The students argued with the teacher. ,The teacher was argued with by the students.,argue with,,,True
The neighbors argued with one another.,The neighbors were argued with by one another.,argue with,x,,True
The fans argued with the referee.,The referee was argued with by the fans.,argue with,,,True
The siblings argued with their cousins.,The cousins were argued with by the siblings.,argue with,,,False
The coach argued with the referee.,The referee was argued with by the coach.,argue with,,,True
The team cooperated with the sponsor.  ,The sponsor was cooperated with by the team.,cooperate with,,?,True
The scientists cooperated with the researchers.  ,The researchers were cooperated with by the scientists.,cooperate with,,,True
The students cooperated with the teacher.  ,The teacher was cooperated with by the students.,cooperate with,,,True
The companies cooperated with the government.  ,The government was cooperated with by the companies.,cooperate with,,,True
The artists cooperated with the gallery.  ,The gallery was cooperated with by the artists.,cooperate with,,,True
The volunteers cooperated with the organization.  ,The organization was cooperated with by the volunteers.,cooperate with,,,True
The countries cooperated with each other.  ,The countries were cooperated with by each other.,cooperate with,x,,True
The participants cooperated with the event coordinators.  ,Output: The event coordinators were cooperated with by the participants.,cooperate with,,,False
The engineers cooperated with the architects.  ,The architects were cooperated with by the engineers.,cooperate with,,,True
The professor disagreed with the student.  ,The student was disagreed with by the professor.,disagree with,,?,True
The committee disagreed with the proposal.  ,The proposal was disagreed with by the committee.,disagree with,,,True
The manager disagreed with the report.  ,The report was disagreed with by the manager.,disagree with,,,True
The team disagreed with the strategy.  ,The strategy was disagreed with by the team.,disagree with,,,True
The authors disagreed with each other.  ,The authors were disagreed with by each other.,disagree with,x,,True
The neighbors disagreed with the decision.  ,The decision was disagreed with by the neighbors.,disagree with,,,True
The analysts disagreed with the conclusion.  ,The conclusion was disagreed with by the analysts.,disagree with,,,True
The leaders disagreed with the plan.  ,The plan was disagreed with by the leaders.,disagree with,,,True
The critic disagreed with the review.  ,The review was disagreed with by the critic.,disagree with,,,True
The neighbors quarreled with the loud construction crew.,The loud construction crew was quarreled with by the neighbors.,quarrel with,,,True
The siblings quarreled with each other over the game.,The game was quarreled over by the siblings.,quarrel with,x,,False
The two friends quarreled with their differing opinions.,The two friends were quarreled with by their differing opinions.,quarrel with,x,,True
The students quarreled with the teacher about the rules.,The teacher was quarreled with by the students about the rules.,quarrel with,,,True
The cats quarreled with each other over the toy.,The toy was quarreled over by the cats.,quarrel with,x,,False
The rivals quarreled with each other on the field.,The field was quarrelled over by the rivals.,quarrel with,x,,False
The roommates quarreled with the landlord about the rent.,The landlord was quarreled with by the roommates about the rent.,quarrel with,,,True
The children quarreled with the babysitter over bedtime.,The babysitter was quarreled with by the children over bedtime.,quarrel with,,,True
The politicians quarreled with each other during the debate.,The politicians were quarreled with by each other during the debate.,quarrel with,x,,True
The children squabbled with each other.,The children were squabbled with by each other.,squabble with,x,,True
Two dogs squabbled with a cat.,The cat was squabbled with by two dogs.,squabble with,,,False
Neighbors squabbled with one another.,The neighbors were squabbled with by one another.,squabble with,x,,False
Friends squabbled with their opinions.,The opinions were squabbled over by friends.,squabble with,,,False
The athletes squabbled with the referee.,The referee was squabbled with by the athletes.,squabble with,,,True
Siblings squabbled with their parents.,The parents were squabbled with by their siblings.,squabble with,,,False
Classmates squabbled with a teacher.,The teacher was squabbled with by classmates.,squabble with,,,False
The teams squabbled with their rivals.,The rivals were squabbled with by the teams.,squabble with,,,False
The players squabbled with the coach.,The coach was squabbled with by the players.,squabble with,,,True
The prince courted the princess.,The princess was courted by the prince.,court,,,True
The musician courted the audience.,The audience was courted by the musician.,court,,,True
The artist courted public attention.,The public attention was courted by the artist.,court,,,False
The athlete courted a sponsorship.,Output: A sponsorship was courted by the athlete.,court,,,False
The writer courted literary fame.,The literary fame was courted by the writer.,court,,,False
The entrepreneur courted investors.,The investors were courted by the entrepreneur.,court,,,False
The politician courted voter support.,The voter support was courted by the politician.,court,,,False
The chef courted culinary critics.,The culinary critics were courted by the chef.,court,,,False
The actor courted media coverage.,The media coverage was courted by the actor.,court,,,False
The cat cuddled the blanket.,The blanket was cuddled by the cat.,cuddle,,,True
The child cuddled the teddy bear.,The teddy bear was cuddled by the child.,cuddle,,,True
A couple cuddled on the sofa.,The sofa was cuddled on by a couple.,cuddle,x,,True
The dog cuddled its owner.,The owner was cuddled by the dog.,cuddle,,,False
She cuddled her jacket tightly.,The jacket was cuddled tightly by her.,cuddle,,,False
The parents cuddled their baby.,The baby was cuddled by the parents.,cuddle,,,False
The rabbit cuddled the carrot.,The carrot was cuddled by the rabbit.,cuddle,,,True
The friends cuddled each other.,The friends were cuddled by each other.,cuddle,x,,True
The kitten cuddled the warm pillow.,The warm pillow was cuddled by the kitten.,cuddle,,,True
The author dated the manuscript.,The manuscript was dated by the author.,date,,,True
A couple dated for several months.,The couple was dated by someone for several months.,date,x,,False
The student dated the assignment.,The assignment was dated by the student.,date,,,True
The historian dated the artifact.,The artifact was dated by the historian.,date,,,True
The scientist dated the rock sample.,The rock sample was dated by the scientist.,date,,,True
A girl dated her journal entries.,The journal entries were dated by a girl.,date,,,False
The professor dated the lecture notes.,The lecture notes were dated by the professor.,date,,,True
The archaeologist dated the ruins.,The ruins were dated by the archaeologist.,date,,,True
A researcher dated the photographs.,The photographs were dated by a researcher.,date,,,True
The mother embraced her child.,The child was embraced by the mother.,embrace,,,False
The friends embraced each other.,The friends were embraced by each other.,embrace,x,,True
The coach embraced the player.,The player was embraced by the coach.,embrace,,,True
The couple embraced the moment.,The moment was embraced by the couple.,embrace,,,True
The artist embraced the new style.,The new style was embraced by the artist.,embrace,,,True
The siblings embraced the changes.,The changes were embraced by the siblings.,embrace,,,True
The leader embraced the challenge.,The challenge was embraced by the leader.,embrace,,,True
The team embraced the victory.,The victory was embraced by the team.,embrace,,,True
The community embraced the diversity.,The diversity was embraced by the community.,embrace,,,True
The child hugged a teddy bear.,The teddy bear was hugged by the child.,hug,,,False
A sister hugged her brother.,The brother was hugged by a sister.,hug,,,False
The friend hugged a tree.,The tree was hugged by the friend.,hug,,,False
The mother hugged her son.,The son was hugged by the mother.,hug,,,False
The teacher hugged the student.,The student was hugged by the teacher.,hug,,,True
The dog hugged its owner.,The owner was hugged by the dog.,hug,,,False
The girl hugged a pillow.,The pillow was hugged by the girl.,hug,,,False
A parent hugged a child.,The child was hugged by a parent.,hug,,,False
The couple hugged each other.,The couple was hugged by each other.,hug,x,,True
The couple married each other.,The couple was married to each other.,marry,x,,False
The actress married a director.,The director was married by the actress.,marry,,,False
The writer married his muse.,The muse was married by the writer.,marry,,,False
The soldier married his sweetheart.,The sweetheart was married by the soldier.,marry,,,False
The prince married a commoner.,The commoner was married by the prince.,marry,,,False
The professor married a fellow academic.,The fellow academic was married by the professor.,marry,,,False
The politician married a philanthropist.,The philanthropist was married by the politician.,marry,,,False
The athlete married a fellow competitor.,The fellow competitor was married by the athlete.,marry,,,False
The farmer married his childhood friend.,The childhood friend was married by the farmer.,marry,,,False
The knights fought the dragon.,The dragon was fought by the knights.,fight,,,True
The children fought the monster.,The monster was fought by the children.,fight,,,True
The soldiers fought the enemy.,The enemy was fought by the soldiers.,fight,,,True
The rivals fought the championship.,The championship was fought by the rivals.,fight,,,True
The athletes fought the opponent.,The opponent was fought by the athletes.,fight,,,True
The dogs fought the intruder.,The intruder was fought by the dogs.,fight,,,True
The police fought the criminals.,The criminals were fought by the police.,fight,,,True
The boxers fought the match.,The match was fought by the boxers.,fight,,,True
The team fought the odds.,The odds were fought by the team.,fight,,,True
The team met the coach.,The coach was met by the team.,meet,,,True
Sarah met her friend.,The friend was met by Sarah.,meet,,,False
The committee met the mayor.,The mayor was met by the committee.,meet,,,True
John met the new employee.,The new employee was met by John.,meet,,,True
The students met the principal.,The principal was met by the students.,meet,,,True
The researchers met the scientist.,The scientist was met by the researchers.,meet,,,True
The neighbors met each other.,The neighbors were met by each other.,meet,x,,True
The clients met the consultant.,The consultant was met by the clients.,meet,,,True
The children met the author.,The author was met by the children.,meet,,,True
The family visited the museum.,The museum was visited by the family.,visit,,,True
The tourists visited the city.,The city was visited by the tourists.,visit,,,True
The teacher visited the classroom.,The classroom was visited by the teacher.,visit,,,True
Friends visited the park.,The park was visited by friends.,visit,,,True
The couple visited the restaurant.,The restaurant was visited by the couple.,visit,,,True
The students visited the library.,The library was visited by the students.,visit,,,True
The doctor visited the patient.,The patient was visited by the doctor.,visit,,,True
The artist visited the gallery.,The gallery was visited by the artist.,visit,,,True
The children visited the zoo.,The zoo was visited by the children.,visit,,,True
The teacher called the students.,The students were called by the teacher.,call,,,True
She called her friend.,Her friend was called by her.,call,x,,False
The manager called a meeting.,The meeting was called by the manager.,call,,,False
John called the restaurant.,The restaurant was called by John.,call,,,True
The parent called the doctor.,The doctor was called by the parent.,call,,,True
The secretary called the client.,The client was called by the secretary.,call,,,True
Sam called the mechanic.,The mechanic was called by Sam.,call,,,True
The artist called her muse.,The muse was called by the artist.,call,,,False
Lucy called the police.,The police were called by Lucy.,call,,,True
The teacher spoke to the students.,The students were spoken to by the teacher.,speak to,,?,False
A leader spoke to the crowd.,The crowd was spoken to by a leader.,speak to,,,False
The parent spoke to the principal.,The principal was spoken to by the parent.,speak to,,,False
The manager spoke to the team.,The team was spoken to by the manager.,speak to,,,False
The journalist spoke to the witness.,The witness was spoken to by the journalist.,speak to,,,False
The coach spoke to the players.,The players were spoken to by the coach.,speak to,,,False
The friend spoke to the neighbor.,The neighbor was spoken to by the friend.,speak to,,,False
The doctor spoke to the patient.,The patient was spoken to by the doctor.,speak to,,,False
The expert spoke to the audience.,The audience was spoken to by the expert.,speak to,,,False
The teacher talked to the student.,The student was talked to by the teacher.,talk to,,?,True
The doctor talked to the patient.,The patient was talked to by the doctor.,talk to,,,True
The manager talked to the employee.,The employee was talked to by the manager.,talk to,,,True
The friend talked to his neighbor.,The neighbor was talked to by the friend.,talk to,,,False
The reporter talked to the witness.,The witness was talked to by the reporter.,talk to,,,True
The coach talked to the player.,The player was talked to by the coach.,talk to,,,True
The parent talked to the child.,The child was talked to by the parent.,talk to,,,True
The politician talked to the crowd.,The crowd was talked to by the politician.,talk to,,,True
The researcher talked to the expert.,The expert was talked to by the researcher.,talk to,,,True
The teacher chatted to the students.,The students were chatted to by the teacher.,chat to,,?,True
The friend chatted to a neighbor.,The neighbor was chatted to by the friend.,chat to,,,False
The child chatted to a puppy.,The puppy was chatted to by the child.,chat to,,,False
The woman chatted to an old acquaintance.,The old acquaintance was chatted to by the woman.,chat to,,,False
The employee chatted to the manager.,The manager was chatted to by the employee.,chat to,,,True
The journalist chatted to the celebrity.,The celebrity was chatted to by the journalist.,chat to,,,True
The doctor chatted to the patient.,The patient was chatted to by the doctor.,chat to,,,True
The coach chatted to the athlete.,The athlete was chatted to by the coach.,chat to,,,True
The couple chatted to their friends.,The friends were chatted to by the couple.,chat to,,,False
The teacher conversed with the student.,The student was conversed with by the teacher.,converse with,,?,True
The manager conversed with the client.,The client was conversed with by the manager.,converse with,,,True
The guests conversed with each other.,The guests were conversed with by each other.,converse with,,,True
The children conversed with the adults.,The adults were conversed with by the children.,converse with,,,True
The researcher conversed with the scientist.,The scientist was conversed with by the researcher.,converse with,,,True
The politician conversed with the voters.,The voters were conversed with by the politician.,converse with,,,True
The artist conversed with the critic.,The critic was conversed with by the artist.,converse with,,,True
The librarian conversed with the patron.,The patron was conversed with by the librarian.,converse with,,,True
The team conversed with the coach.,The coach was conversed with by the team.,converse with,,,True
The friends gossiped about the party.,The party was gossiped about by the friends.,gossip,x,?,True
The women gossiped over coffee.,The coffee was gossiped over by the women.,gossip,x,,False
The coworkers gossiped during lunch.,The lunch was gossiped about by the coworkers.,gossip,x,,False
The girls gossiped about the school crush.,The school crush was gossiped about by the girls.,gossip,x,,True
The neighbors gossiped about the new family.,The new family was gossiped about by the neighbors.,gossip,x,,True
The reporters gossiped about the celebrity scandal.,The celebrity scandal was gossiped about by the reporters.,gossip,x,,True
The group gossiped in the hallway.,The hallway was gossiped in by the group.,gossip,x,,True
The aunts gossiped at the family gathering.,The family gathering was gossiped at by the aunts.,gossip,x,,True
The strangers gossiped in the waiting room.,The waiting room was gossiped in by the strangers.,gossip,x,,True
The teacher advised the student.  ,The student was advised by the teacher.,advise,,,True
The lawyer advised the client.  ,The client was advised by the lawyer.,advise,,,True
The doctor advised the patient.  ,The patient was advised by the doctor.,advise,,,True
The mentor advised the intern.  ,The intern was advised by the mentor.,advise,,,True
The parent advised the child.  ,The child was advised by the parent.,advise,,,True
The manager advised the team.  ,The team was advised by the manager.,advise,,,True
The friend advised the travelers.  ,The travelers were advised by the friend.,advise,,,True
The coach advised the player.  ,The player was advised by the coach.,advise,,,True
The expert advised the committee.  ,The committee was advised by the expert.,advise,,,True
The teacher instructed the students.,The students were instructed by the teacher.,instruct,,,True
The coach instructed the players.,The players were instructed by the coach.,instruct,,,True
The manager instructed the team.,The team was instructed by the manager.,instruct,,,True
The professor instructed the class.,The class was instructed by the professor.,instruct,,,True
The leader instructed the followers.,The followers were instructed by the leader.,instruct,,,True
The guide instructed the tourists.,The tourists were instructed by the guide.,instruct,,,True
The parent instructed the child.,The child was instructed by the parent.,instruct,,,True
The expert instructed the trainees.,The trainees were instructed by the expert.,instruct,,,True
The director instructed the actors.,The actors were instructed by the director.,instruct,,,True
The teacher warned the students.  ,The students were warned by the teacher.,warn,,,True
The signs warned drivers.  ,The drivers were warned by the signs.,warn,,,False
The friend warned his neighbor.  ,The neighbor was warned by his friend.,warn,,,True
The article warned the public.  ,The public was warned by the article.,warn,,,True
The coach warned the players.  ,The players were warned by the coach.,warn,,,True
The doctor warned the patient.  ,The patient was warned by the doctor.,warn,,,True
The report warned officials.  ,The report was warned by officials.,warn,,,True
The system warned users.  ,The users were warned by the system.,warn,,,False
The movie warned viewers.  ,The viewers were warned by the movie.,warn,,,False
The farmer fed the chickens.  ,The chickens were fed by the farmer.,feed,,,True
The mother fed the baby.  ,The baby was fed by the mother.,feed,,,True
The teacher fed the students.  ,The students were fed by the teacher.,feed,,,True
The caretaker fed the dogs.  ,The dogs were fed by the caretaker.,feed,,,True
The couple fed the ducks.  ,The ducks were fed by the couple.,feed,,,True
The chef fed the guests.  ,The guests were fed by the chef.,feed,,,True
The zookeeper fed the lions.  ,The lions were fed by the zookeeper.,feed,,,True
The child fed the cat.  ,The cat was fed by the child.,feed,,,True
The volunteer fed the homeless.  ,The homeless were fed by the volunteer.,feed,,,True
The dog hurt the cat.,The cat was hurt by the dog.,hurt,,,True
The coach hurt the player's confidence.,The player's confidence was hurt by the coach.,hurt,,,True
The storm hurt the crops.,The crops were hurt by the storm.,hurt,,,True
A rock hurt the window.,The window was hurt by a rock.,hurt,x,,True
The fall hurt the child's arm.,The child's arm was hurt by the fall.,hurt,,,True
The argument hurt their friendship.,The friendship was hurt by the argument.,hurt,,,False
The criticism hurt the artist's feelings.,The artist's feelings were hurt by the criticism.,hurt,,,True
The accident hurt the driver.,The driver was hurt by the accident.,hurt,,,True
The cold hurt the plants.,The plants were hurt by the cold.,hurt,,,True
The child dressed the doll.,The doll was dressed by the child.,dress,,,True
The tailor dressed the suit.,The suit was dressed by the tailor.,dress,,,True
A woman dressed the mannequin.,The mannequin was dressed by a woman.,dress,,,True
The artist dressed the canvas.,The canvas was dressed by the artist.,dress,,,True
The parent dressed the baby.,The baby was dressed by the parent.,dress,,,True
The stylist dressed the model.,The model was dressed by the stylist.,dress,,,True
The soldier dressed his uniform.,The uniform was dressed by the soldier.,dress,x,,False
The cook dressed the salad.,The salad was dressed by the cook.,dress,,,True
The teacher dressed the bulletin board.,The bulletin board was dressed by the teacher.,dress,x,,True
The artist groomed the horse.,The horse was groomed by the artist.,groom,,,True
A stylist groomed the model.,The model was groomed by a stylist.,groom,,,True
The caretaker groomed the dog.,The dog was groomed by the caretaker.,groom,,,True
The owner groomed the cat.,The cat was groomed by the owner.,groom,,,True
The zookeeper groomed the lion.,The lion was groomed by the zookeeper.,groom,,,True
The trainer groomed the athlete.,The athlete was groomed by the trainer.,groom,,,True
The parent groomed the child.,The child was groomed by the parent.,groom,x,,True
The worker groomed the garden.,The garden was groomed by the worker.,groom,,,True
The groomer groomed the puppy.,The puppy was groomed by the groomer.,groom,x,,True
The manager dispatched the order.  ,The order was dispatched by the manager.,dispatch,,,True
The company dispatched the packages.  ,The packages were dispatched by the company.,dispatch,,,True
The worker dispatched the letters.  ,The letters were dispatched by the worker.,dispatch,,,True
The team dispatched the equipment.  ,The equipment was dispatched by the team.,dispatch,,,True
The office dispatched the documents.  ,The documents were dispatched by the office.,dispatch,,,True
