active,passive,verb
The child cuddled the teddy bear.,The teddy bear was cuddled by the child.,cuddle
A couple cuddled on the sofa.,The sofa was cuddled on by a couple.,cuddle
The dog cuddled its owner.,The owner was cuddled by the dog.,cuddle
She cuddled her jacket tightly.,The jacket was cuddled tightly by her.,cuddle
The parents cuddled their baby.,The baby was cuddled by the parents.,cuddle
The rabbit cuddled the carrot.,The carrot was cuddled by the rabbit.,cuddle
The friends cuddled each other.,The friends were cuddled by each other.,cuddle
The kitten cuddled the warm pillow.,The warm pillow was cuddled by the kitten.,cuddle
The author dated the manuscript.,The manuscript was dated by the author.,date
A couple dated for several months.,The couple was dated by someone for several months.,date
The student dated the assignment.,The assignment was dated by the student.,date
The historian dated the artifact.,The artifact was dated by the historian.,date
The scientist dated the rock sample.,The rock sample was dated by the scientist.,date
A girl dated her journal entries.,The journal entries were dated by a girl.,date
The professor dated the lecture notes.,The lecture notes were dated by the professor.,date
The archaeologist dated the ruins.,The ruins were dated by the archaeologist.,date
A researcher dated the photographs.,The photographs were dated by a researcher.,date
The mother embraced her child.,The child was embraced by the mother.,embrace
The friends embraced each other.,The friends were embraced by each other.,embrace
The coach embraced the player.,The player was embraced by the coach.,embrace
The couple embraced the moment.,The moment was embraced by the couple.,embrace
The artist embraced the new style.,The new style was embraced by the artist.,embrace
The siblings embraced the changes.,The changes were embraced by the siblings.,embrace
The leader embraced the challenge.,The challenge was embraced by the leader.,embrace
The team embraced the victory.,The victory was embraced by the team.,embrace
The community embraced the diversity.,The diversity was embraced by the community.,embrace
The child hugged a teddy bear.,The teddy bear was hugged by the child.,hug
A sister hugged her brother.,The brother was hugged by a sister.,hug
The friend hugged a tree.,The tree was hugged by the friend.,hug
The mother hugged her son.,The son was hugged by the mother.,hug
The teacher hugged the student.,The student was hugged by the teacher.,hug
The dog hugged its owner.,The owner was hugged by the dog.,hug
The girl hugged a pillow.,The pillow was hugged by the girl.,hug
A parent hugged a child.,The child was hugged by a parent.,hug
The couple hugged each other.,The couple was hugged by each other.,hug
The couple married each other.,The couple was married to each other.,marry
The actress married a director.,The director was married by the actress.,marry
The writer married his muse.,The muse was married by the writer.,marry
The soldier married his sweetheart.,The sweetheart was married by the soldier.,marry
The prince married a commoner.,The commoner was married by the prince.,marry
The professor married a fellow academic.,The fellow academic was married by the professor.,marry
The politician married a philanthropist.,The philanthropist was married by the politician.,marry
The athlete married a fellow competitor.,The fellow competitor was married by the athlete.,marry
The farmer married his childhood friend.,The childhood friend was married by the farmer.,marry
The knights fought the dragon.,The dragon was fought by the knights.,fight
The children fought the monster.,The monster was fought by the children.,fight
The soldiers fought the enemy.,The enemy was fought by the soldiers.,fight
The rivals fought the championship.,The championship was fought by the rivals.,fight
The athletes fought the opponent.,The opponent was fought by the athletes.,fight
The dogs fought the intruder.,The intruder was fought by the dogs.,fight
The police fought the criminals.,The criminals were fought by the police.,fight
The boxers fought the match.,The match was fought by the boxers.,fight
The team fought the odds.,The odds were fought by the team.,fight
The team met the coach.,The coach was met by the team.,meet
Sarah met her friend.,The friend was met by Sarah.,meet
The committee met the mayor.,The mayor was met by the committee.,meet
John met the new employee.,The new employee was met by John.,meet
The students met the principal.,The principal was met by the students.,meet
The researchers met the scientist.,The scientist was met by the researchers.,meet
The neighbors met each other.,The neighbors were met by each other.,meet
The clients met the consultant.,The consultant was met by the clients.,meet
The children met the author.,The author was met by the children.,meet
The family visited the museum.,The museum was visited by the family.,visit
The tourists visited the city.,The city was visited by the tourists.,visit
The teacher visited the classroom.,The classroom was visited by the teacher.,visit
Friends visited the park.,The park was visited by friends.,visit
The couple visited the restaurant.,The restaurant was visited by the couple.,visit
The students visited the library.,The library was visited by the students.,visit
The doctor visited the patient.,The patient was visited by the doctor.,visit
The artist visited the gallery.,The gallery was visited by the artist.,visit
The children visited the zoo.,The zoo was visited by the children.,visit
The teacher called the students.,The students were called by the teacher.,call
She called her friend.,Her friend was called by her.,call
The manager called a meeting.,The meeting was called by the manager.,call
John called the restaurant.,The restaurant was called by John.,call
The parent called the doctor.,The doctor was called by the parent.,call
The secretary called the client.,The client was called by the secretary.,call
Sam called the mechanic.,The mechanic was called by Sam.,call
The artist called her muse.,The muse was called by the artist.,call
Lucy called the police.,The police were called by Lucy.,call
The teacher spoke to the students.,The students were spoken to by the teacher.,speak to
A leader spoke to the crowd.,The crowd was spoken to by a leader.,speak to
The parent spoke to the principal.,The principal was spoken to by the parent.,speak to
The manager spoke to the team.,The team was spoken to by the manager.,speak to
The journalist spoke to the witness.,The witness was spoken to by the journalist.,speak to
The coach spoke to the players.,The players were spoken to by the coach.,speak to
The friend spoke to the neighbor.,The neighbor was spoken to by the friend.,speak to
The doctor spoke to the patient.,The patient was spoken to by the doctor.,speak to
The expert spoke to the audience.,The audience was spoken to by the expert.,speak to
The teacher talked to the student.,The student was talked to by the teacher.,talk to
The doctor talked to the patient.,The patient was talked to by the doctor.,talk to
The manager talked to the employee.,The employee was talked to by the manager.,talk to
The friend talked to his neighbor.,The neighbor was talked to by the friend.,talk to
The reporter talked to the witness.,The witness was talked to by the reporter.,talk to
The coach talked to the player.,The player was talked to by the coach.,talk to
The parent talked to the child.,The child was talked to by the parent.,talk to
The politician talked to the crowd.,The crowd was talked to by the politician.,talk to
The researcher talked to the expert.,The expert was talked to by the researcher.,talk to
The teacher chatted to the students.,The students were chatted to by the teacher.,chat to
The friend chatted to a neighbor.,The neighbor was chatted to by the friend.,chat to
The child chatted to a puppy.,The puppy was chatted to by the child.,chat to
The woman chatted to an old acquaintance.,The old acquaintance was chatted to by the woman.,chat to
The employee chatted to the manager.,The manager was chatted to by the employee.,chat to
The journalist chatted to the celebrity.,The celebrity was chatted to by the journalist.,chat to
The doctor chatted to the patient.,The patient was chatted to by the doctor.,chat to
The coach chatted to the athlete.,The athlete was chatted to by the coach.,chat to
The couple chatted to their friends.,The friends were chatted to by the couple.,chat to
The teacher conversed with the student.,The student was conversed with by the teacher.,converse with
The manager conversed with the client.,The client was conversed with by the manager.,converse with
The guests conversed with each other.,The guests were conversed with by each other.,converse with
The children conversed with the adults.,The adults were conversed with by the children.,converse with
The researcher conversed with the scientist.,The scientist was conversed with by the researcher.,converse with
The politician conversed with the voters.,The voters were conversed with by the politician.,converse with
The artist conversed with the critic.,The critic was conversed with by the artist.,converse with
The librarian conversed with the patron.,The patron was conversed with by the librarian.,converse with
The team conversed with the coach.,The coach was conversed with by the team.,converse with
The friends gossiped about the party.,The party was gossiped about by the friends.,gossip
The women gossiped over coffee.,The coffee was gossiped over by the women.,gossip
The coworkers gossiped during lunch.,The lunch was gossiped about by the coworkers.,gossip
The girls gossiped about the school crush.,The school crush was gossiped about by the girls.,gossip
The neighbors gossiped about the new family.,The new family was gossiped about by the neighbors.,gossip
The reporters gossiped about the celebrity scandal.,The celebrity scandal was gossiped about by the reporters.,gossip
The group gossiped in the hallway.,The hallway was gossiped in by the group.,gossip
The aunts gossiped at the family gathering.,The family gathering was gossiped at by the aunts.,gossip
The strangers gossiped in the waiting room.,The waiting room was gossiped in by the strangers.,gossip
The teacher advised the student.  ,The student was advised by the teacher.,advise
The lawyer advised the client.  ,The client was advised by the lawyer.,advise
The doctor advised the patient.  ,The patient was advised by the doctor.,advise
The mentor advised the intern.  ,The intern was advised by the mentor.,advise
The parent advised the child.  ,The child was advised by the parent.,advise
The manager advised the team.  ,The team was advised by the manager.,advise
The friend advised the travelers.  ,The travelers were advised by the friend.,advise
The coach advised the player.  ,The player was advised by the coach.,advise
The expert advised the committee.  ,The committee was advised by the expert.,advise
The teacher instructed the students.,The students were instructed by the teacher.,instruct
The coach instructed the players.,The players were instructed by the coach.,instruct
The manager instructed the team.,The team was instructed by the manager.,instruct
The professor instructed the class.,The class was instructed by the professor.,instruct
The leader instructed the followers.,The followers were instructed by the leader.,instruct
The guide instructed the tourists.,The tourists were instructed by the guide.,instruct
The parent instructed the child.,The child was instructed by the parent.,instruct
The expert instructed the trainees.,The trainees were instructed by the expert.,instruct
The director instructed the actors.,The actors were instructed by the director.,instruct
The teacher warned the students.  ,The students were warned by the teacher.,warn
The signs warned drivers.  ,The drivers were warned by the signs.,warn
The friend warned his neighbor.  ,The neighbor was warned by his friend.,warn
The article warned the public.  ,The public was warned by the article.,warn
The coach warned the players.  ,The players were warned by the coach.,warn
The doctor warned the patient.  ,The patient was warned by the doctor.,warn
The report warned officials.  ,The report was warned by officials.,warn
The system warned users.  ,The users were warned by the system.,warn
The movie warned viewers.  ,The viewers were warned by the movie.,warn
The farmer fed the chickens.  ,The chickens were fed by the farmer.,feed
The mother fed the baby.  ,The baby was fed by the mother.,feed
The teacher fed the students.  ,The students were fed by the teacher.,feed
The caretaker fed the dogs.  ,The dogs were fed by the caretaker.,feed
The couple fed the ducks.  ,The ducks were fed by the couple.,feed
The chef fed the guests.  ,The guests were fed by the chef.,feed
The zookeeper fed the lions.  ,The lions were fed by the zookeeper.,feed
The child fed the cat.  ,The cat was fed by the child.,feed
The volunteer fed the homeless.  ,The homeless were fed by the volunteer.,feed
The dog hurt the cat.,The cat was hurt by the dog.,hurt
The coach hurt the player's confidence.,The player's confidence was hurt by the coach.,hurt
The storm hurt the crops.,The crops were hurt by the storm.,hurt
A rock hurt the window.,The window was hurt by a rock.,hurt
The fall hurt the child's arm.,The child's arm was hurt by the fall.,hurt
The argument hurt their friendship.,The friendship was hurt by the argument.,hurt
The criticism hurt the artist's feelings.,The artist's feelings were hurt by the criticism.,hurt
The accident hurt the driver.,The driver was hurt by the accident.,hurt
The cold hurt the plants.,The plants were hurt by the cold.,hurt
The child dressed the doll.,The doll was dressed by the child.,dress
The tailor dressed the suit.,The suit was dressed by the tailor.,dress
A woman dressed the mannequin.,The mannequin was dressed by a woman.,dress
The artist dressed the canvas.,The canvas was dressed by the artist.,dress
The parent dressed the baby.,The baby was dressed by the parent.,dress
The stylist dressed the model.,The model was dressed by the stylist.,dress
The soldier dressed his uniform.,The uniform was dressed by the soldier.,dress
The cook dressed the salad.,The salad was dressed by the cook.,dress
The teacher dressed the bulletin board.,The bulletin board was dressed by the teacher.,dress
The artist groomed the horse.,The horse was groomed by the artist.,groom
A stylist groomed the model.,The model was groomed by a stylist.,groom
The caretaker groomed the dog.,The dog was groomed by the caretaker.,groom
The owner groomed the cat.,The cat was groomed by the owner.,groom
The zookeeper groomed the lion.,The lion was groomed by the zookeeper.,groom
The trainer groomed the athlete.,The athlete was groomed by the trainer.,groom
The parent groomed the child.,The child was groomed by the parent.,groom
The worker groomed the garden.,The garden was groomed by the worker.,groom
The groomer groomed the puppy.,The puppy was groomed by the groomer.,groom
The manager dispatched the order.  ,The order was dispatched by the manager.,dispatch
The company dispatched the packages.  ,The packages were dispatched by the company.,dispatch
The worker dispatched the letters.  ,The letters were dispatched by the worker.,dispatch
The team dispatched the equipment.  ,The equipment was dispatched by the team.,dispatch
The office dispatched the documents.  ,The documents were dispatched by the office.,dispatch
The agent dispatched the message.  ,The message was dispatched by the agent.,dispatch
The fleet dispatched the vehicles.  ,The vehicles were dispatched by the fleet.,dispatch
The service dispatched the technician.  ,The technician was dispatched by the service.,dispatch
The authority dispatched the task force.  ,The task force was dispatched by the authority.,dispatch
The team eliminated the competitor.  ,The competitor was eliminated by the team.,eliminate
The scientist eliminated the variable.  ,The variable was eliminated by the scientist.,eliminate
The coach eliminated the distractions.  ,The distractions were eliminated by the coach.,eliminate
The committee eliminated the outdated rules.  ,The outdated rules were eliminated by the committee.,eliminate
The company eliminated the inefficiencies.  ,The inefficiencies were eliminated by the company.,eliminate
The judge eliminated the unfair practices.  ,The unfair practices were eliminated by the judge.,eliminate
The process eliminated the errors.  ,The errors were eliminated by the process.,eliminate
The policy eliminated the loopholes.  ,The loopholes were eliminated by the policy.,eliminate
The software eliminated the bugs.  ,The bugs were eliminated by the software.,eliminate
The court executed the order.  ,The order was executed by the court.,execute
The team executed the plan.  ,The plan was executed by the team.,execute
A hacker executed the code.  ,The code was executed by a hacker.,execute
The chef executed the recipe.  ,The recipe was executed by the chef.,execute
The company executed the strategy.  ,The strategy was executed by the company.,execute
The artist executed the painting.  ,The painting was executed by the artist.,execute
The manager executed the decision.  ,The decision was executed by the manager.,execute
The soldier executed the drill.  ,The drill was executed by the soldier.,execute
The programmer executed the program.  ,The program was executed by the programmer.,execute
The cat killed a mouse.,The mouse was killed by the cat.,kill
A hunter killed a deer.,The deer was killed by a hunter.,kill
The storm killed the power.,The power was killed by the storm.,kill
The chef killed the fish.,The fish was killed by the chef.,kill
A farmer killed the weeds.,The weeds were killed by a farmer.,kill
The dog killed the rabbit.,The rabbit was killed by the dog.,kill
The detective killed the rumor.,The rumor was killed by the detective.,kill
The soldier killed the enemy.,The enemy was killed by the soldier.,kill
The player killed the competition.,The competition was killed by the player.,kill
The detective solved the murder case.  ,The murder case was solved by the detective.,murder
The villain murdered an innocent victim.  ,The innocent victim was murdered by the villain.,murder
The police arrested the suspect for murder.  ,The suspect was arrested by the police for murder.,murder
The journalist reported the murder extensively.  ,The murder was reported extensively by the journalist.,murder
The court sentenced the criminal for the murder.  ,The criminal was sentenced by the court for the murder.,murder
A witness testified about the murder scene.  ,The murder scene was testified about by a witness.,murder
The town feared the unexpected murder.  ,The unexpected murder was feared by the town.,murder
The author wrote a book about a murder.  ,The book about a murder was written by the author.,murder
The investigator examined the murder weapon.  ,The murder weapon was examined by the investigator.,murder
The knight slayed the dragon.  ,The dragon was slayed by the knight.,slay
The warrior slayed the beast.  ,The beast was slayed by the warrior.,slay
The archer slayed the target.  ,The target was slain by the archer.,slay
The hero slayed the monster.  ,The monster was slayed by the hero.,slay
The soldier slayed the enemy.  ,The enemy was slayed by the soldier.,slay
The princess slayed the villain.  ,The villain was slayed by the princess.,slay
The hunter slayed the deer.  ,The deer was slayed by the hunter.,slay
The knight slayed the giant.  ,The giant was slayed by the knight.,slay
The wizard slayed the sorceress.  ,The sorceress was slain by the wizard.,slay
The heavy rain drowned the garden.,The garden was drowned by the heavy rain.,drown
The storm drowned the small boat.,The small boat was drowned by the storm.,drown
The wave drowned a sailor.,The sailor was drowned by the wave.,drown
The flood drowned the village.,The village was drowned by the flood.,drown
The river drowned the poor fish.,The poor fish was drowned by the river.,drown
The accident drowned the car.,The car was drowned by the accident.,drown
The neglect drowned the flowers.,The flowers were drowned by the neglect.,drown
The cold weather drowned the hopes.,The hopes were drowned by the cold weather.,drown
The dark clouds drowned the sun.,The sun was drowned by the dark clouds.,drown
The chef knifed the vegetables.  ,The vegetables were knifed by the chef.,knife
A thief knifed the canvas.  ,The canvas was knifed by a thief.,knife
The artist knifed the paper.  ,The paper was knifed by the artist.,knife
The soldier knifed the enemy.  ,The enemy was knifed by the soldier.,knife
The cook knifed the chicken.  ,The chicken was knifed by the cook.,knife
The carpenter knifed the wood.  ,The wood was knifed by the carpenter.,knife
The gardener knifed the branch.  ,The branch was knifed by the gardener.,knife
The teacher knifed the letter.  ,The letter was knifed by the teacher.,knife
The butcher knifed the meat.  ,The meat was knifed by the butcher.,knife
The soldier stabbed the enemy.,The enemy was stabbed by the soldier.,stab
A thief stabbed the victim.,The victim was stabbed by a thief.,stab
The chef stabbed the meat.,The meat was stabbed by the chef.,stab
The assassin stabbed the target.,The target was stabbed by the assassin.,stab
The woman stabbed the balloon.,The balloon was stabbed by the woman.,stab
A student stabbed the notebook.,The notebook was stabbed by a student.,stab
The artist stabbed the canvas.,The canvas was stabbed by the artist.,stab
The knight stabbed the dragon.,The dragon was stabbed by the knight.,stab
The dog stabbed the toy.,The toy was stabbed by the dog.,stab
The cat strangled the mouse.,The mouse was strangled by the cat.,strangle
The villain strangled the hero.,The hero was strangled by the villain.,strangle
The snake strangled the bird.,The bird was strangled by the snake.,strangle
The assailant strangled the victim.,The victim was strangled by the assailant.,strangle
The wrestler strangled his opponent.,The opponent was strangled by the wrestler.,strangle
The thief strangled the guard.,The guard was strangled by the thief.,strangle
The monster strangled the explorer.,The explorer was strangled by the monster.,strangle
The tree strangled the vine.,The vine was strangled by the tree.,strangle
The ghost strangled the intruder.,The intruder was strangled by the ghost.,strangle
The plastic bag suffocated the kitten.  ,The kitten was suffocated by the plastic bag.,suffocate
The smoke suffocated the firefighters.  ,The firefighters were suffocated by the smoke.,suffocate
The lack of oxygen suffocated the fish.  ,The fish was suffocated by the lack of oxygen.,suffocate
The blanket suffocated the small dog.  ,The small dog was suffocated by the blanket.,suffocate
The fumes suffocated the workers.  ,The workers were suffocated by the fumes.,suffocate
The pillow suffocated the toy.  ,The toy was suffocated by the pillow.,suffocate
The dust suffocated the plant.  ,The plant was suffocated by the dust.,suffocate
The garbage suffocated the insects.  ,The insects were suffocated by the garbage.,suffocate
The water suffocated the trapped insect.  ,The trapped insect was suffocated by the water.,suffocate
The dog abandoned its puppies.  ,The puppies were abandoned by the dog.,abandon
The family abandoned the old house.  ,The old house was abandoned by the family.,abandon
The team abandoned their plans.  ,The plans were abandoned by the team.,abandon
The soldier abandoned his post.  ,The post was abandoned by the soldier.,abandon
The artist abandoned the incomplete painting.  ,The incomplete painting was abandoned by the artist.,abandon
The company abandoned the project.  ,The project was abandoned by the company.,abandon
The explorer abandoned the expedition.  ,The expedition was abandoned by the explorer.,abandon
The couple abandoned the idea.  ,The idea was abandoned by the couple.,abandon
The child abandoned the toy.  ,The toy was abandoned by the child.,abandon
The soldier deserted his post.  ,The post was deserted by the soldier.,desert
The crew deserted the ship.  ,The ship was deserted by the crew.,desert
The girl deserted her hometown.  ,The hometown was deserted by the girl.,desert
The actor deserted the stage.  ,The stage was deserted by the actor.,desert
The team deserted their coach.  ,The coach was deserted by the team.,desert
A traveler deserted the camp.  ,The camp was deserted by a traveler.,desert
The explorer deserted the mountain.  ,The mountain was deserted by the explorer.,desert
The child deserted the playground.  ,The playground was deserted by the child.,desert
The citizen deserted the party.  ,The party was deserted by the citizen.,desert
The car raced the motorcycle.  ,The motorcycle was raced by the car.,race
The children raced their friends.  ,The friends were raced by the children.,race
The dog raced the rabbit.  ,The rabbit was raced by the dog.,race
A cyclist raced the runner.  ,The runner was raced by a cyclist.,race
The horse raced the other horses.  ,The other horses were raced by the horse.,race
The athlete raced the clock.  ,The clock was raced by the athlete.,race
The teams raced the finish line.  ,The finish line was raced by the teams.,race
The boat raced the yacht.  ,The yacht was raced by the boat.,race
The players raced the ball.  ,The ball was raced by the players.,race
The dog chased the cat.,The cat was chased by the dog.,chase
A girl chased the butterfly.,The butterfly was chased by a girl.,chase
The group chased the thief.,The thief was chased by the group.,chase
The children chased the ball.,The ball was chased by the children.,chase
The hunter chased the deer.,The deer was chased by the hunter.,chase
The coach chased the players.,The players were chased by the coach.,chase
The fox chased the rabbit.,The rabbit was chased by the fox.,chase
The car chased the ambulance.,The ambulance was chased by the car.,chase
The athlete chased the record.,The record was chased by the athlete.,chase
The dog followed the cat.  ,The cat was followed by the dog.,follow
The runner followed the path.  ,The path was followed by the runner.,follow
The group followed the leader.  ,The leader was followed by the group.,follow
The children followed the instructions.  ,The instructions were followed by the children.,follow
The crowd followed the parade.  ,The parade was followed by the crowd.,follow
The student followed the teacher.  ,The teacher was followed by the student.,follow
The bird followed the squirrel.  ,The squirrel was followed by the bird.,follow
The car followed the bus.  ,The bus was followed by the car.,follow
The hiker followed the trail.  ,The trail was followed by the hiker.,follow
The dog pursued a ball.,The ball was pursued by the dog.,pursue
The detective pursued the suspect.,The suspect was pursued by the detective.,pursue
The athlete pursued a personal record.,The personal record was pursued by the athlete.,pursue
The child pursued a butterfly.,The butterfly was pursued by the child.,pursue
The photographer pursued a shot.,The shot was pursued by the photographer.,pursue
The student pursued knowledge.,Knowledge was pursued by the student.,pursue
The hiker pursued a scenic view.,The scenic view was pursued by the hiker.,pursue
The artist pursued inspiration.,The inspiration was pursued by the artist.,pursue
The team pursued victory.,The victory was pursued by the team.,pursue
The artist shadowed the model.  ,The model was shadowed by the artist.,shadow
The detective shadowed the suspect.  ,The suspect was shadowed by the detective.,shadow
She shadowed her mentor.  ,The mentor was shadowed by her.,shadow
The scout shadowed the team.  ,The team was shadowed by the scout.,shadow
The child shadowed his parent.  ,The parent was shadowed by the child.,shadow
The photographer shadowed the event.  ,The event was shadowed by the photographer.,shadow
The journalist shadowed the politician.  ,The politician was shadowed by the journalist.,shadow
The student shadowed a class.  ,The class was shadowed by the student.,shadow
The dog shadowed its owner.  ,The owner was shadowed by the dog.,shadow
The dog tailed the rabbit.  ,The rabbit was tailed by the dog.,tail
The detective tailed the suspect.  ,The suspect was tailed by the detective.,tail
The cat tailed the moving toy.  ,The moving toy was tailed by the cat.,tail
The bird tailed the drone.  ,The drone was tailed by the bird.,tail
The car tailed the speeding vehicle.  ,The speeding vehicle was tailed by the car.,tail
The child tailed the ice cream truck.  ,The ice cream truck was tailed by the child.,tail
The chef tailed the recipe closely.  ,The recipe was tailed closely by the chef.,tail
The athlete tailed the lead runner.  ,The lead runner was tailed by the athlete.,tail
The photographer tailed the model for hours.  ,The model was tailed by the photographer for hours.,tail
The detective tracked the suspect.,The suspect was tracked by the detective.,track
The scientist tracked the migration.,The migration was tracked by the scientist.,track
The team tracked the progress.,The progress was tracked by the team.,track
The children tracked the squirrel.,The squirrel was tracked by the children.,track
The researcher tracked the data.,The data was tracked by the researcher.,track
The hiker tracked the trail.,The trail was tracked by the hiker.,track
The farmer tracked the cattle.,The cattle were tracked by the farmer.,track
The coach tracked the players.,The players were tracked by the coach.,track
The analyst tracked the stock prices.,The stock prices were tracked by the analyst.,track
The dog trailed a scent.,The scent was trailed by the dog.,trail
The detective trailed a suspect.,The suspect was trailed by the detective.,trail
The hiker trailed behind the group.,The group was trailed behind by the hiker.,trail
The car trailed smoke.,The smoke was trailed by the car.,trail
The child trailed a kite.,The kite was trailed by the child.,trail
The soldier trailed a banner.,The banner was trailed by the soldier.,trail
The photographer trailed the model.,The model was trailed by the photographer.,trail
The student trailed the teacher.,The teacher was trailed by the student.,trail
The cyclist trailed the leader.,The leader was trailed by the cyclist.,trail
The artist accompanied the singer.  ,The singer was accompanied by the artist.,accompany
The teacher accompanied the students.  ,The students were accompanied by the teacher.,accompany
The dog accompanied its owner.  ,The owner was accompanied by the dog.,accompany
The nurse accompanied the doctor.  ,The doctor was accompanied by the nurse.,accompany
The music accompanied the dance.  ,The dance was accompanied by the music.,accompany
The guide accompanied the tourists.  ,The tourists were accompanied by the guide.,accompany
The parent accompanied the child.  ,The child was accompanied by the parent.,accompany
The friend accompanied the traveler.  ,The traveler was accompanied by the friend.,accompany
The pianist accompanied the violinist.  ,The violinist was accompanied by the pianist.,accompany
A guard escorted the VIP.,The VIP was escorted by a guard.,escort
The mother escorted her daughter.,The daughter was escorted by the mother.,escort
An officer escorted the visitor.,The visitor was escorted by an officer.,escort
A teacher escorted the students.,The students were escorted by a teacher.,escort
The host escorted the guests.,The guests were escorted by the host.,escort
A guide escorted the tourists.,The tourists were escorted by a guide.,escort
The diplomat escorted the ambassador.,The ambassador was escorted by the diplomat.,escort
A friend escorted the bride.,The bride was escorted by a friend.,escort
The father escorted the child.,The child was escorted by the father.,escort
The teacher guided the students.,The students were guided by the teacher.,guide
A mentor guided the young artist.,The young artist was guided by a mentor.,guide
The map guided the hikers.,The hikers were guided by the map.,guide
The coach guided the team.,The team was guided by the coach.,guide
The parent guided the child.,The child was guided by the parent.,guide
The tour guide guided the tourists.,The tourists were guided by the tour guide.,guide
A professional guided the group.,The group was guided by a professional.,guide
The leaders guided the city.,The city was guided by the leaders.,guide
The expert guided the discussion.,The discussion was guided by the expert.,guide
The dog led the children.,The children were led by the dog.,lead
The guide led the tourists.,The tourists were led by the guide.,lead
The manager led the meeting.,The meeting was led by the manager.,lead
The teacher led the discussion.,The discussion was led by the teacher.,lead
The captain led the team.,The team was led by the captain.,lead
The coach led the practice.,The practice was led by the coach.,lead
The farmer led the cattle.,The cattle were led by the farmer.,lead
The conductor led the orchestra.,The orchestra was led by the conductor.,lead
The parent led the group.,The group was led by the parent.,lead
The teacher helped the students.,The students were helped by the teacher.,help
A friend helped the woman.,The woman was helped by a friend.,help
The coach helped the team.,The team was helped by the coach.,help
The mechanic helped the driver.,The driver was helped by the mechanic.,help
The neighbor helped the gardener.,The gardener was helped by the neighbor.,help
The librarian helped the children.,The children were helped by the librarian.,help
A parent helped the toddler.,The toddler was helped by a parent.,help
The guide helped the tourists.,The tourists were helped by the guide.,help
The doctor helped the patient.,The patient was helped by the doctor.,help
The child tripped the dog.  ,The dog was tripped by the child.,trip
A runner tripped the fence.  ,The fence was tripped by a runner.,trip
The player tripped an opponent.  ,The opponent was tripped by the player.,trip
The wind tripped the branches.  ,The branches were tripped by the wind.,trip
The toddler tripped the toy.  ,The toy was tripped by the toddler.,trip
A thief tripped the alarm.  ,The alarm was tripped by a thief.,trip
The cyclist tripped a pedestrian.  ,The pedestrian was tripped by the cyclist.,trip
The wave tripped the surfer.  ,The surfer was tripped by the wave.,trip
The cat tripped the curtain.  ,The curtain was tripped by the cat.,trip
The noise aggravated the neighbors.,The neighbors were aggravated by the noise.,aggravate
The comment aggravated the situation.,The situation was aggravated by the comment.,aggravate
The delay aggravated the passengers.,The passengers were aggravated by the delay.,aggravate
The incident aggravated the crowd.,The crowd was aggravated by the incident.,aggravate
The heat aggravated the symptoms.,The symptoms were aggravated by the heat.,aggravate
The argument aggravated the tension.,The tension was aggravated by the argument.,aggravate
The reminders aggravated the feeling.,The feeling was aggravated by the reminders.,aggravate
The reports aggravated the teacher.,The teacher was aggravated by the reports.,aggravate
The rudeness aggravated the manager.,The manager was aggravated by the rudeness.,aggravate
The performance amazed the audience.,The audience was amazed by the performance.,amaze
The magician amazed the children.,The children were amazed by the magician.,amaze
The news amazed the entire town.,The entire town was amazed by the news.,amaze
The artwork amazed the critics.,The critics were amazed by the artwork.,amaze
The scientist amazed the students.,The students were amazed by the scientist.,amaze
The animation amazed the viewers.,The viewers were amazed by the animation.,amaze
The technology amazed the investors.,The investors were amazed by the technology.,amaze
The discovery amazed the researchers.,The researchers were amazed by the discovery.,amaze
The results amazed the team.,The team was amazed by the results.,amaze
The clown amused the children.,The children were amused by the clown.,amuse
The movie amused the audience.,The audience was amused by the movie.,amuse
The magician amused the guests.,The guests were amused by the magician.,amuse
The performance amused the crowd.,The crowd was amused by the performance.,amuse
The comedian amused the fans.,The fans were amused by the comedian.,amuse
The puppy amused the family.,The family was amused by the puppy.,amuse
The book amused the readers.,The readers were amused by the book.,amuse
The song amused the listeners.,The listeners were amused by the song.,amuse
The jester amused the king.,The king was amused by the jester.,amuse
The news angered the crowd.,The crowd was angered by the news.,anger
The comment angered the teacher.,The teacher was angered by the comment.,anger
The decision angered the players.,The players were angered by the decision.,anger
The delay angered the passengers.,The passengers were angered by the delay.,anger
The act angered the community.,The community was angered by the act.,anger
The statement angered the manager.,The manager was angered by the statement.,anger
The noise angered the neighbors.,The neighbors were angered by the noise.,anger
The change angered the employees.,The employees were angered by the change.,anger
The rumor angered the fans.,The fans were angered by the rumor.,anger
The loud noise annoyed the neighbors.,The neighbors were annoyed by the loud noise.,annoy
The kids annoyed the teacher.,The teacher was annoyed by the kids.,annoy
The heat wave annoyed the residents.,The residents were annoyed by the heat wave.,annoy
The traffic jam annoyed the driver.,The driver was annoyed by the traffic jam.,annoy
The delay annoyed the passengers.,The passengers were annoyed by the delay.,annoy
The comments annoyed the author.,The author was annoyed by the comments.,annoy
The barking dog annoyed the homeowners.,The homeowners were annoyed by the barking dog.,annoy
The persistent rain annoyed the picnic-goers.,The picnic-goers were annoyed by the persistent rain.,annoy
The questions annoyed the speaker.,The speaker was annoyed by the questions.,annoy
The magician astonished the audience.,The audience was astonished by the magician.,astonish
The news astonished the reporters.,The reporters were astonished by the news.,astonish
The performance astonished the critics.,The critics were astonished by the performance.,astonish
