active,passive,verb,bad,exclude
The picture disgusted the tourists.  ,The tourists were disgusted by the picture.,disgust,,
The comment disgusted the volunteers.  ,The volunteers were disgusted by the comment.,disgust,,
The news saddened the entire community.  ,The entire community was saddened by the news.,sadden,,
The event saddened many attendees.  ,The event was saddened by many attendees.,sadden,,
The movie saddened the viewers.  ,The viewers were saddened by the movie.,sadden,,
The song saddened the listeners.  ,The listeners were saddened by the song.,sadden,,
The announcement saddened the children.  ,The children were saddened by the announcement.,sadden,,
The letter saddened the family.  ,The family was saddened by the letter.,sadden,,
The discussion saddened the group.  ,The group was saddened by the discussion.,sadden,,
The photograph saddened the old man.  ,The old man was saddened by the photograph.,sadden,,
The reminder saddened the team.,The team was saddened by the reminder.,sadden,,
The team eliminated the competition.,The competition was eliminated by the team.,eliminate,,
The doctor eliminated the infection.,The infection was eliminated by the doctor.,eliminate,,
The committee eliminated unnecessary expenses.,The unnecessary expenses were eliminated by the committee.,eliminate,,
The program eliminated old files.,The old files were eliminated by the program.,eliminate,,
The student eliminated distractions.,The distractions were eliminated by the student.,eliminate,,
The manager eliminated redundant steps.,The redundant steps were eliminated by the manager.,eliminate,,
The study eliminated doubts about the hypothesis.,The doubts about the hypothesis were eliminated by the study.,eliminate,,
The review eliminated errors in the report.,The errors in the report were eliminated by the review.,eliminate,,
The process eliminated outdated practices.,The outdated practices were eliminated by the process.,eliminate,,
The workshop eliminated barriers to understanding.,The barriers to understanding were eliminated by the workshop.,eliminate,,
The teacher warned the students.,The students were warned by the teacher.,warn,,
A friend warned the neighbor.,The neighbor was warned by a friend.,warn,,
The sign warned drivers.,The drivers were warned by the sign.,warn,,
The weather report warned everyone.,The weather report was warned about by everyone.,warn,,
An expert warned the community.,The community was warned by an expert.,warn,,
The coach warned the players.,The players were warned by the coach.,warn,,
The article warned the public.,The public was warned by the article.,warn,,
The parents warned the children.,The children were warned by the parents.,warn,,
The video warned viewers.,The viewers were warned by the video.,warn,,
The doctor warned his patient.,The patient was warned by the doctor.,warn,,
The committee ended the meeting.,The meeting was ended by the committee.,end,,
The movie ended the series.,The series was ended by the movie.,end,,
The storm ended the picnic.,The picnic was ended by the storm.,end,,
The teacher ended the lesson.,The lesson was ended by the teacher.,end,,
The artist ended the performance.,The performance was ended by the artist.,end,,
The manager ended the contract.,The contract was ended by the manager.,end,,
The author ended the book.,The book was ended by the author.,end,,
The speaker ended the presentation.,The presentation was ended by the speaker.,end,,
The team ended the game.,The game was ended by the team.,end,,
The executive ended the discussion.,The discussion was ended by the executive.,end,,
The teacher embarrassed the student.  ,The student was embarrassed by the teacher.,embarass,,
The comedian embarrassed the audience.  ,The audience was embarrassed by the comedian.,embarass,,
The incident embarrassed the organization.   ,The organization was embarrassed by the incident.,embarass,,
The rumor embarrassed the politician.  ,The politician was embarrassed by the rumor.,embarass,,
The photograph embarrassed the couple.  ,The couple was embarrassed by the photograph.,embarass,,
The question embarrassed the speaker.  ,The speaker was embarrassed by the question.,embarass,,
The article embarrassed the journalist.  ,The journalist was embarrassed by the article.,embarass,,
The mistake embarrassed the employee.  ,The employee was embarrassed by the mistake.,embarass,,
The comment embarrassed the guest.  ,The guest was embarrassed by the comment.,embarass,,
The event embarrassed the host.  ,The host was embarrassed by the event.,embarass,,
The traveler glimpsed the sunrise.  ,The sunrise was glimpsed by the traveler.,glimpse,,
A child glimpsed the elephant.  ,The elephant was glimpsed by a child.,glimpse,,
The hiker glimpsed the mountain.  ,The mountain was glimpsed by the hiker.,glimpse,,
A student glimpsed the answer.  ,The answer was glimpsed by a student.,glimpse,,
The passerby glimpsed the painting.  ,The painting was glimpsed by the passerby.,glimpse,,
The dog followed the runner.  ,The runner was followed by the dog.,follow,,
The children followed their teacher.  ,The teacher was followed by the children.,follow,,
The cat followed the butterfly.  ,The butterfly was followed by the cat.,follow,,
The detective followed the suspect.  ,The suspect was followed by the detective.,follow,,
The tourists followed the guide.  ,The guide was followed by the tourists.,follow,,
The birds followed the plane.  ,The plane was followed by the birds.,follow,,
The crowd followed the parade.  ,The parade was followed by the crowd.,follow,,
The athlete followed the coach.  ,The coach was followed by the athlete.,follow,,
The student followed the instruction.  ,The instruction was followed by the student.,follow,,
The friends followed the map.  ,The map was followed by the friends.,follow,,
The officer escorted the suspect.,The suspect was escorted by the officer.,escort,,
A student escorted a visitor.,The visitor was escorted by a student.,escort,,
The guide escorted the tourists.,The tourists were escorted by the guide.,escort,,
The manager escorted the client.,The client was escorted by the manager.,escort,,
The soldier escorted the dignitary.,The dignitary was escorted by the soldier.,escort,,
The volunteer escorted the children.,The children were escorted by the volunteer.,escort,,
A parent escorted the group.,The group was escorted by a parent.,escort,,
The usher escorted the guests.,The guests were escorted by the usher.,escort,,
The assistant escorted the professor.,The professor was escorted by the assistant.,escort,,
The doctor examined the patient.,The patient was examined by the doctor.,examine,,
The teacher examined the exam papers.,The exam papers were examined by the teacher.,examine,,
The scientist examined the samples.,The samples were examined by the scientist.,examine,,
The inspector examined the building.,The building was examined by the inspector.,examine,,
The researcher examined the data.,The data was examined by the researcher.,examine,,
The mechanic examined the engine.,The engine was examined by the mechanic.,examine,,
The biologist examined the organisms.,The organisms were examined by the biologist.,examine,,
The editor examined the manuscript.,The manuscript was examined by the editor.,examine,,
The curator examined the artwork.,The artwork was examined by the curator.,examine,,
The detective examined the evidence.,The evidence was examined by the detective.,examine,,
The teacher encouraged the student.,The student was encouraged by the teacher.,encourage,,
The coach encouraged the team.,The team was encouraged by the coach.,encourage,,
The parent encouraged the child.,The child was encouraged by the parent.,encourage,,
The friend encouraged the artist.,The artist was encouraged by the friend.,encourage,,
The mentor encouraged the writer.,The writer was encouraged by the mentor.,encourage,,
The speaker encouraged the audience.,The audience was encouraged by the speaker.,encourage,,
The boss encouraged the employee.,The employee was encouraged by the boss.,encourage,,
The doctor encouraged the patient.,The patient was encouraged by the doctor.,encourage,,
The organization encouraged the volunteers.,The volunteers were encouraged by the organization.,encourage,,
The leader encouraged the community.,The community was encouraged by the leader.,encourage,,
The car raced the motorcycle.,The motorcycle was raced by the car.,race,,
The athlete raced the sprinter.,The sprinter was raced by the athlete.,race,,
The horse raced the greyhound.,The greyhound was raced by the horse.,race,,
The child raced the toy car.,The toy car was raced by the child.,race,,
The team raced the opponent.,The opponent was raced by the team.,race,,
The cyclist raced the runner.,The runner was raced by the cyclist.,race,,
The boat raced the yacht.,The yacht was raced by the boat.,race,,
The drone raced the airplane.,The airplane was raced by the drone.,race,,
The dog raced the rabbit.,The rabbit was raced by the dog.,race,,
The engineer raced the robot.,The robot was raced by the engineer.,race,,
The movie horrified the audience.,The audience was horrified by the movie.,horrify,,
The news horrified the family.,The family was horrified by the news.,horrify,,
The story horrified the children.,The children were horrified by the story.,horrify,,
The accident horrified the witnesses.,The witnesses were horrified by the accident.,horrify,,
The documentary horrified the viewers.,The viewers were horrified by the documentary.,horrify,,
The image horrified the artist.,The artist was horrified by the image.,horrify,,
The report horrified the community.,The community was horrified by the report.,horrify,,
The lecture horrified the students.,The students were horrified by the lecture.,horrify,,
The experience horrified the travelers.,The travelers were horrified by the experience.,horrify,,
The book horrified the critics.,The critics were horrified by the book.,horrify,,
The children heard the music.,The music was heard by the children.,hear,,
The audience heard the speech.,The speech was heard by the audience.,hear,,
The teacher heard the question.,The question was heard by the teacher.,hear,,
The dog heard the noise.,The noise was heard by the dog.,hear,,
The students heard the announcement.,The announcement was heard by the students.,hear,,
The neighbors heard the commotion.,The commotion was heard by the neighbors.,hear,,
The athlete heard the cheers.,The cheers were heard by the athlete.,hear,,
The woman heard the laughter.,The laughter was heard by the woman.,hear,,
The detective heard the truth.,The truth was heard by the detective.,hear,,
The chef heard the timer.,The timer was heard by the chef.,hear,,
The friend comforted the child.,The child was comforted by the friend.,comfort,,
A mother comforted her daughter.,The daughter was comforted by her mother.,comfort,,
The therapist comforted the patient.,The patient was comforted by the therapist.,comfort,,
The teacher comforted the student.,The student was comforted by the teacher.,comfort,,
The dog comforted its owner.,The owner was comforted by the dog.,comfort,,
A neighbor comforted the grieving family.,The grieving family was comforted by a neighbor.,comfort,,
The singer comforted the audience.,The audience was comforted by the singer.,comfort,,
The blanket comforted the cold traveler.,The cold traveler was comforted by the blanket.,comfort,,
The counselor comforted the upset teen.,The upset teen was comforted by the counselor.,comfort,,
