active,passive,verb,bad,exclude,match,content_match,parse_match,Vtypefull,Vtype,VtypeNEW,Verb,Vno,Passivizable,Participle,CoreSet,CountTot,CountTrans,CountInt,CountPass,CountPeri,CountOther,A_cause_B_change,A_enable,A_doingsomething_B,A_responsible,A_physical_contact,B_state_change,B_responsible,A_deliberately_V_B,B_affected,B_adversely_affected,FACA,FACB,FACC
the king proclaimed a new law.,a new law was proclaimed by the king.,proclaim,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,proclaim,V419,Y,REG,N,1217,,,11,,,4.9,5.9,4.43,7.9,1.4,3.8,3.1,6.0,3.6,3.7,-1.15961,-0.15396,-1.31811
the committee proclaimed a winner.,a winner was proclaimed by the committee.,proclaim,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,proclaim,V419,Y,REG,N,1217,,,11,,,4.9,5.9,4.43,7.9,1.4,3.8,3.1,6.0,3.6,3.7,-1.15961,-0.15396,-1.31811
the mayor proclaimed a holiday.,a holiday was proclaimed by the mayor.,proclaim,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,proclaim,V419,Y,REG,N,1217,,,11,,,4.9,5.9,4.43,7.9,1.4,3.8,3.1,6.0,3.6,3.7,-1.15961,-0.15396,-1.31811
the artist proclaimed his masterpiece.,his masterpiece was proclaimed by the artist.,proclaim,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,proclaim,V419,Y,REG,N,1217,,,11,,,4.9,5.9,4.43,7.9,1.4,3.8,3.1,6.0,3.6,3.7,-1.15961,-0.15396,-1.31811
the leader proclaimed a message of peace.,a message of peace was proclaimed by the leader.,proclaim,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,proclaim,V419,Y,REG,N,1217,,,11,,,4.9,5.9,4.43,7.9,1.4,3.8,3.1,6.0,3.6,3.7,-1.15961,-0.15396,-1.31811
the analyst predicted market trends.,market trends were predicted by the analyst.,predict,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,predict,V420,Y,REG,N,3685,,,34,,,3.6,6.8,5.1,6.7,1.8,3.4,3.4,5.8,3.2,3.3,-1.36052,-0.14589,-1.10514
the fortune teller predicted a change.,a change was predicted by the fortune teller.,predict,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,predict,V420,Y,REG,N,3685,,,34,,,3.6,6.8,5.1,6.7,1.8,3.4,3.4,5.8,3.2,3.3,-1.36052,-0.14589,-1.10514
the report predicted economic growth.,economic growth was predicted by the report.,predict,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,predict,V420,Y,REG,N,3685,,,34,,,3.6,6.8,5.1,6.7,1.8,3.4,3.4,5.8,3.2,3.3,-1.36052,-0.14589,-1.10514
the historian predicted the significance of the event.,the significance of the event was predicted by the historian.,predict,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,predict,V420,Y,REG,N,3685,,,34,,,3.6,6.8,5.1,6.7,1.8,3.4,3.4,5.8,3.2,3.3,-1.36052,-0.14589,-1.10514
the psychologist predicted behavior patterns.,behavior patterns were predicted by the psychologist.,predict,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,predict,V420,Y,REG,N,3685,,,34,,,3.6,6.8,5.1,6.7,1.8,3.4,3.4,5.8,3.2,3.3,-1.36052,-0.14589,-1.10514
the athlete predicted a victory.,a victory was predicted by the athlete.,predict,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,predict,V420,Y,REG,N,3685,,,34,,,3.6,6.8,5.1,6.7,1.8,3.4,3.4,5.8,3.2,3.3,-1.36052,-0.14589,-1.10514
the study revealed new information.,new information was revealed by the study.,reveal,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,reveal,V421,Y,REG,N,10127,,,111,,,5.7,7.9,6.6,6.9,3.6,5.9,2.6,7.8,5.3,3.8,0.0295,-0.10505,-1.37337
the friend suggested a restaurant.,a restaurant was suggested by the friend.,suggest,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,suggest,V423,Y,REG,N,27986,,,275,,,3.8,7.4,4.4,6.9,1.7,4.3,3.7,5.1,3.4,3.0,-1.32579,-0.22987,-0.93397
the author suggested a solution.,a solution was suggested by the author.,suggest,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,suggest,V423,Y,REG,N,27986,,,275,,,3.8,7.4,4.4,6.9,1.7,4.3,3.7,5.1,3.4,3.0,-1.32579,-0.22987,-0.93397
the manager suggested a plan.,a plan was suggested by the manager.,suggest,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,suggest,V423,Y,REG,N,27986,,,275,,,3.8,7.4,4.4,6.9,1.7,4.3,3.7,5.1,3.4,3.0,-1.32579,-0.22987,-0.93397
the student suggested an idea.,an idea was suggested by the student.,suggest,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,suggest,V423,Y,REG,N,27986,,,275,,,3.8,7.4,4.4,6.9,1.7,4.3,3.7,5.1,3.4,3.0,-1.32579,-0.22987,-0.93397
the doctor suggested a treatment.,a treatment was suggested by the doctor.,suggest,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,suggest,V423,Y,REG,N,27986,,,275,,,3.8,7.4,4.4,6.9,1.7,4.3,3.7,5.1,3.4,3.0,-1.32579,-0.22987,-0.93397
the consultant suggested a change.,a change was suggested by the consultant.,suggest,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,suggest,V423,Y,REG,N,27986,,,275,,,3.8,7.4,4.4,6.9,1.7,4.3,3.7,5.1,3.4,3.0,-1.32579,-0.22987,-0.93397
the parent suggested a book.,a book was suggested by the parent.,suggest,,,TRUE,TRUE,TRUE,Abstract_force,Abstract_force,(d) Other Passivizable,suggest,V423,Y,REG,N,27986,,,275,,,3.8,7.4,4.4,6.9,1.7,4.3,3.7,5.1,3.4,3.0,-1.32579,-0.22987,-0.93397
the organization spanned several countries.,several countries were spanned by the organization.,span,,,TRUE,TRUE,TRUE,Spatial_Relationship,Spatial_Relationship,(d) Other Passivizable,span,V432,Y,REG,N,712,,,8,,,4.6,5.3,4.6,5.3,4.1,4.8,3.3,4.5,3.3,4.4,-1.45198,-2.11164,0.26783
the project spanned multiple years.,multiple years were spanned by the project.,span,,,TRUE,TRUE,TRUE,Spatial_Relationship,Spatial_Relationship,(d) Other Passivizable,span,V432,Y,REG,N,712,,,8,,,4.6,5.3,4.6,5.3,4.1,4.8,3.3,4.5,3.3,4.4,-1.45198,-2.11164,0.26783
the box contained old photographs.,old photographs were contained by the box.,contain,,,TRUE,TRUE,TRUE,Spatial_Relationship,Spatial_Relationship,(d) Other Passivizable,contain,V433,Y,REG,N,17362,,,14,,,5.2,3.9,4.3,5.8,6.6,4.6,4.2,5.6,4.6,2.6,-1.37532,-1.54612,0.50407
the recipe contained several spices.,several spices were contained by the recipe.,contain,,,TRUE,TRUE,TRUE,Spatial_Relationship,Spatial_Relationship,(d) Other Passivizable,contain,V433,Y,REG,N,17362,,,14,,,5.2,3.9,4.3,5.8,6.6,4.6,4.2,5.6,4.6,2.6,-1.37532,-1.54612,0.50407
the book contained valuable information.,valuable information was contained by the book.,contain,,,TRUE,TRUE,TRUE,Spatial_Relationship,Spatial_Relationship,(d) Other Passivizable,contain,V433,Y,REG,N,17362,,,14,,,5.2,3.9,4.3,5.8,6.6,4.6,4.2,5.6,4.6,2.6,-1.37532,-1.54612,0.50407
the bottle contained fresh juice.,fresh juice was contained by the bottle.,contain,,,TRUE,TRUE,TRUE,Spatial_Relationship,Spatial_Relationship,(d) Other Passivizable,contain,V433,Y,REG,N,17362,,,14,,,5.2,3.9,4.3,5.8,6.6,4.6,4.2,5.6,4.6,2.6,-1.37532,-1.54612,0.50407
the package contained a surprise gift.,a surprise gift was contained by the package.,contain,,,TRUE,TRUE,TRUE,Spatial_Relationship,Spatial_Relationship,(d) Other Passivizable,contain,V433,Y,REG,N,17362,,,14,,,5.2,3.9,4.3,5.8,6.6,4.6,4.2,5.6,4.6,2.6,-1.37532,-1.54612,0.50407
the cat rang the dinner bell.,the dinner bell was rung by the cat.,ring,,,TRUE,TRUE,TRUE,Spatial_Relationship,Spatial_Relationship,(d) Other Passivizable,ring,V436,Y,REG,N,48596,,,0,,,6.4,7.0,7.6,7.4,2.1,5.1,2.9,8.5,5.6,3.7,0.06593,0.68385,-1.19159
the squad rang the victory bell.,the victory bell was rung by the squad.,ring,,,TRUE,TRUE,TRUE,Spatial_Relationship,Spatial_Relationship,(d) Other Passivizable,ring,V436,Y,REG,N,48596,,,0,,,6.4,7.0,7.6,7.4,2.1,5.1,2.9,8.5,5.6,3.7,0.06593,0.68385,-1.19159
the musician rang a clear tone.,a clear tone was rung by the musician.,ring,,,TRUE,TRUE,TRUE,Spatial_Relationship,Spatial_Relationship,(d) Other Passivizable,ring,V436,Y,REG,N,48596,,,0,,,6.4,7.0,7.6,7.4,2.1,5.1,2.9,8.5,5.6,3.7,0.06593,0.68385,-1.19159
the organization registered a new member.,a new member was registered by the organization.,register,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,register,V439,N,REG,N,3295,551.0,1143.0,22,0.0,1267.0,4.7,7.0,6.6,6.7,1.8,4.9,4.1,7.1,5.2,3.5,-0.60755,0.67777,-0.12903
the company registered its trademark.,its trademark was registered by the company.,register,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,register,V439,N,REG,N,3295,551.0,1143.0,22,0.0,1267.0,4.7,7.0,6.6,6.7,1.8,4.9,4.1,7.1,5.2,3.5,-0.60755,0.67777,-0.12903
the driver registered a vehicle.,a vehicle was registered by the driver.,register,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,register,V439,N,REG,N,3295,551.0,1143.0,22,0.0,1267.0,4.7,7.0,6.6,6.7,1.8,4.9,4.1,7.1,5.2,3.5,-0.60755,0.67777,-0.12903
the website registered a new user.,a new user was registered by the website.,register,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,register,V439,N,REG,N,3295,551.0,1143.0,22,0.0,1267.0,4.7,7.0,6.6,6.7,1.8,4.9,4.1,7.1,5.2,3.5,-0.60755,0.67777,-0.12903
the school registered attendance records.,attendance records were registered by the school.,register,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,register,V439,N,REG,N,3295,551.0,1143.0,22,0.0,1267.0,4.7,7.0,6.6,6.7,1.8,4.9,4.1,7.1,5.2,3.5,-0.60755,0.67777,-0.12903
the expenses totaled one hundred dollars.,one hundred dollars were totaled by the expenses.,"total (i.e., add up to)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"total (i.e., add up to)",V440,N,REG,N,1179,961.0,0.0,1,0.0,204.0,4.6,4.6,4.6,5.8,3.1,3.3,4.1,4.0,2.3,3.5,-1.95486,-1.44238,0.26227
the scores totaled fifty points.,fifty points were totaled by the scores.,"total (i.e., add up to)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"total (i.e., add up to)",V440,N,REG,N,1179,961.0,0.0,1,0.0,204.0,4.6,4.6,4.6,5.8,3.1,3.3,4.1,4.0,2.3,3.5,-1.95486,-1.44238,0.26227
the ingredients totaled four cups.,four cups were totaled by the ingredients.,"total (i.e., add up to)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"total (i.e., add up to)",V440,N,REG,N,1179,961.0,0.0,1,0.0,204.0,4.6,4.6,4.6,5.8,3.1,3.3,4.1,4.0,2.3,3.5,-1.95486,-1.44238,0.26227
the population totaled three hundred people.,three hundred people were totaled by the population.,"total (i.e., add up to)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"total (i.e., add up to)",V440,N,REG,N,1179,961.0,0.0,1,0.0,204.0,4.6,4.6,4.6,5.8,3.1,3.3,4.1,4.0,2.3,3.5,-1.95486,-1.44238,0.26227
the donations totaled five thousand dollars.,five thousand dollars were totaled by the donations.,"total (i.e., add up to)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"total (i.e., add up to)",V440,N,REG,N,1179,961.0,0.0,1,0.0,204.0,4.6,4.6,4.6,5.8,3.1,3.3,4.1,4.0,2.3,3.5,-1.95486,-1.44238,0.26227
the items totaled seven pieces.,seven pieces were totaled by the items.,"total (i.e., add up to)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"total (i.e., add up to)",V440,N,REG,N,1179,961.0,0.0,1,0.0,204.0,4.6,4.6,4.6,5.8,3.1,3.3,4.1,4.0,2.3,3.5,-1.95486,-1.44238,0.26227
the chapters totaled fifteen sections.,fifteen sections were totaled by the chapters.,"total (i.e., add up to)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"total (i.e., add up to)",V440,N,REG,N,1179,961.0,0.0,1,0.0,204.0,4.6,4.6,4.6,5.8,3.1,3.3,4.1,4.0,2.3,3.5,-1.95486,-1.44238,0.26227
the votes totaled two hundred ballots.,two hundred ballots were totaled by the votes.,"total (i.e., add up to)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"total (i.e., add up to)",V440,N,REG,N,1179,961.0,0.0,1,0.0,204.0,4.6,4.6,4.6,5.8,3.1,3.3,4.1,4.0,2.3,3.5,-1.95486,-1.44238,0.26227
the car cost a lot of money.,a lot of money was cost by the car.,cost,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,cost,V442,N,IRR,N,9394,7212.0,13.0,0,0.0,1833.0,3.9,3.6,3.1,5.3,1.7,4.1,3.8,3.5,5.1,4.3,-2.07305,-2.35699,1.52359
the meal cost an arm and a leg.,an arm and a leg was cost by the meal.,cost,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,cost,V442,N,IRR,N,9394,7212.0,13.0,0,0.0,1833.0,3.9,3.6,3.1,5.3,1.7,4.1,3.8,3.5,5.1,4.3,-2.07305,-2.35699,1.52359
the dress cost a fortune.,a fortune was cost by the dress.,cost,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,cost,V442,N,IRR,N,9394,7212.0,13.0,0,0.0,1833.0,3.9,3.6,3.1,5.3,1.7,4.1,3.8,3.5,5.1,4.3,-2.07305,-2.35699,1.52359
the ticket cost fifty euros.,fifty euros were cost by the ticket.,cost,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,cost,V442,N,IRR,N,9394,7212.0,13.0,0,0.0,1833.0,3.9,3.6,3.1,5.3,1.7,4.1,3.8,3.5,5.1,4.3,-2.07305,-2.35699,1.52359
the painting cost a small fortune.,a small fortune was cost by the painting.,cost,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,cost,V442,N,IRR,N,9394,7212.0,13.0,0,0.0,1833.0,3.9,3.6,3.1,5.3,1.7,4.1,3.8,3.5,5.1,4.3,-2.07305,-2.35699,1.52359
the meeting lasted two hours.,two hours were lasted by the meeting.,last,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,last,V443,N,REG,N,4991,257.0,3279.0,0,4.0,1277.0,2.6,3.3,1.9,3.4,1.7,2.5,3.2,3.0,2.2,2.7,-3.1559,-3.27901,0.89164
the movie lasted three hours.,three hours were lasted by the movie.,last,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,last,V443,N,REG,N,4991,257.0,3279.0,0,4.0,1277.0,2.6,3.3,1.9,3.4,1.7,2.5,3.2,3.0,2.2,2.7,-3.1559,-3.27901,0.89164
the event lasted all day.,all day was lasted by the event.,last,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,last,V443,N,REG,N,4991,257.0,3279.0,0,4.0,1277.0,2.6,3.3,1.9,3.4,1.7,2.5,3.2,3.0,2.2,2.7,-3.1559,-3.27901,0.89164
the trip lasted a week.,a week was lasted by the trip.,last,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,last,V443,N,REG,N,4991,257.0,3279.0,0,4.0,1277.0,2.6,3.3,1.9,3.4,1.7,2.5,3.2,3.0,2.2,2.7,-3.1559,-3.27901,0.89164
the bus carried twenty passengers.,twenty passengers were carried by the bus.,"carry (i.e., hold a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"carry (i.e., hold a certain number of people)",V445,N,REG,N,29917,6626.0,0.0,142,3.0,22871.0,4.5,5.3,4.8,6.7,5.7,4.2,3.1,5.9,3.7,3.6,-1.11116,-1.26325,-0.97502
the truck carried heavy cargo.,heavy cargo was carried by the truck.,"carry (i.e., hold a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"carry (i.e., hold a certain number of people)",V445,N,REG,N,29917,6626.0,0.0,142,3.0,22871.0,4.5,5.3,4.8,6.7,5.7,4.2,3.1,5.9,3.7,3.6,-1.11116,-1.26325,-0.97502
the elevator carried several workers.,several workers were carried by the elevator.,"carry (i.e., hold a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"carry (i.e., hold a certain number of people)",V445,N,REG,N,29917,6626.0,0.0,142,3.0,22871.0,4.5,5.3,4.8,6.7,5.7,4.2,3.1,5.9,3.7,3.6,-1.11116,-1.26325,-0.97502
the ship carried many tourists.,many tourists were carried by the ship.,"carry (i.e., hold a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"carry (i.e., hold a certain number of people)",V445,N,REG,N,29917,6626.0,0.0,142,3.0,22871.0,4.5,5.3,4.8,6.7,5.7,4.2,3.1,5.9,3.7,3.6,-1.11116,-1.26325,-0.97502
the train carried oversized equipment.,oversized equipment was carried by the train.,"carry (i.e., hold a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"carry (i.e., hold a certain number of people)",V445,N,REG,N,29917,6626.0,0.0,142,3.0,22871.0,4.5,5.3,4.8,6.7,5.7,4.2,3.1,5.9,3.7,3.6,-1.11116,-1.26325,-0.97502
the airplane carried multiple bags.,multiple bags were carried by the airplane.,"carry (i.e., hold a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"carry (i.e., hold a certain number of people)",V445,N,REG,N,29917,6626.0,0.0,142,3.0,22871.0,4.5,5.3,4.8,6.7,5.7,4.2,3.1,5.9,3.7,3.6,-1.11116,-1.26325,-0.97502
the ferry carried cars and bicycles.,cars and bicycles were carried by the ferry.,"carry (i.e., hold a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"carry (i.e., hold a certain number of people)",V445,N,REG,N,29917,6626.0,0.0,142,3.0,22871.0,4.5,5.3,4.8,6.7,5.7,4.2,3.1,5.9,3.7,3.6,-1.11116,-1.26325,-0.97502
the jeep carried four friends.,four friends were carried by the jeep.,"carry (i.e., hold a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"carry (i.e., hold a certain number of people)",V445,N,REG,N,29917,6626.0,0.0,142,3.0,22871.0,4.5,5.3,4.8,6.7,5.7,4.2,3.1,5.9,3.7,3.6,-1.11116,-1.26325,-0.97502
the sweater fit the child.,the child was fit by the sweater.,fit,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,fit,V446,N,REG,N,9041,3097.0,3358.0,9,2.0,2461.0,3.6,5.0,4.8,4.8,4.9,4.3,3.8,4.7,2.8,3.8,-1.73366,-1.86647,0.44218
the key fit the lock.,the lock was fit by the key.,fit,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,fit,V446,N,REG,N,9041,3097.0,3358.0,9,2.0,2461.0,3.6,5.0,4.8,4.8,4.9,4.3,3.8,4.7,2.8,3.8,-1.73366,-1.86647,0.44218
the shoes fit her feet.,her feet were fit by the shoes.,fit,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,fit,V446,N,REG,N,9041,3097.0,3358.0,9,2.0,2461.0,3.6,5.0,4.8,4.8,4.9,4.3,3.8,4.7,2.8,3.8,-1.73366,-1.86647,0.44218
the table fit the dining room.,the dining room was fit by the table.,fit,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,fit,V446,N,REG,N,9041,3097.0,3358.0,9,2.0,2461.0,3.6,5.0,4.8,4.8,4.9,4.3,3.8,4.7,2.8,3.8,-1.73366,-1.86647,0.44218
the puzzle fit the box.,the box was fit by the puzzle.,fit,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,fit,V446,N,REG,N,9041,3097.0,3358.0,9,2.0,2461.0,3.6,5.0,4.8,4.8,4.9,4.3,3.8,4.7,2.8,3.8,-1.73366,-1.86647,0.44218
the dress fit the mannequin.,the mannequin was fit by the dress.,fit,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,fit,V446,N,REG,N,9041,3097.0,3358.0,9,2.0,2461.0,3.6,5.0,4.8,4.8,4.9,4.3,3.8,4.7,2.8,3.8,-1.73366,-1.86647,0.44218
the car fit the garage.,the garage was fit by the car.,fit,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,fit,V446,N,REG,N,9041,3097.0,3358.0,9,2.0,2461.0,3.6,5.0,4.8,4.8,4.9,4.3,3.8,4.7,2.8,3.8,-1.73366,-1.86647,0.44218
the dinner fed eight guests.,eight guests were fed by the dinner.,"feed (i.e., be enough for a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"feed (i.e., be enough for a certain number of people)",V447,N,IRR,N,7001,4029.0,67.0,59,0.0,2382.0,5.4,7.3,6.0,6.3,4.7,5.7,4.5,6.8,3.5,3.5,-0.60208,0.25298,-0.12577
the picnic fed five friends.,five friends were fed by the picnic.,"feed (i.e., be enough for a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"feed (i.e., be enough for a certain number of people)",V447,N,IRR,N,7001,4029.0,67.0,59,0.0,2382.0,5.4,7.3,6.0,6.3,4.7,5.7,4.5,6.8,3.5,3.5,-0.60208,0.25298,-0.12577
the buffet fed ten children.,ten children were fed by the buffet.,"feed (i.e., be enough for a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"feed (i.e., be enough for a certain number of people)",V447,N,IRR,N,7001,4029.0,67.0,59,0.0,2382.0,5.4,7.3,6.0,6.3,4.7,5.7,4.5,6.8,3.5,3.5,-0.60208,0.25298,-0.12577
the meal fed two hungry hikers.,two hungry hikers were fed by the meal.,"feed (i.e., be enough for a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"feed (i.e., be enough for a certain number of people)",V447,N,IRR,N,7001,4029.0,67.0,59,0.0,2382.0,5.4,7.3,6.0,6.3,4.7,5.7,4.5,6.8,3.5,3.5,-0.60208,0.25298,-0.12577
the party fed a crowd of twenty.,a crowd of twenty was fed by the party.,"feed (i.e., be enough for a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"feed (i.e., be enough for a certain number of people)",V447,N,IRR,N,7001,4029.0,67.0,59,0.0,2382.0,5.4,7.3,6.0,6.3,4.7,5.7,4.5,6.8,3.5,3.5,-0.60208,0.25298,-0.12577
the restaurant fed many customers.,many customers were fed by the restaurant.,"feed (i.e., be enough for a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"feed (i.e., be enough for a certain number of people)",V447,N,IRR,N,7001,4029.0,67.0,59,0.0,2382.0,5.4,7.3,6.0,6.3,4.7,5.7,4.5,6.8,3.5,3.5,-0.60208,0.25298,-0.12577
the donation fed an entire village.,an entire village was fed by the donation.,"feed (i.e., be enough for a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"feed (i.e., be enough for a certain number of people)",V447,N,IRR,N,7001,4029.0,67.0,59,0.0,2382.0,5.4,7.3,6.0,6.3,4.7,5.7,4.5,6.8,3.5,3.5,-0.60208,0.25298,-0.12577
the theater held two hundred people.,two hundred people were held by the theater.,"hold (i.e., accomdate a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"hold (i.e., accomdate a certain number of people)",V448,N,IRR,N,45508,11791.0,136.0,579,3.0,30976.0,3.6,6.6,4.3,6.0,6.1,4.8,2.9,6.1,4.7,3.1,-0.98664,-1.43183,-1.01174
the venue held a large crowd.,a large crowd was held by the venue.,"hold (i.e., accomdate a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"hold (i.e., accomdate a certain number of people)",V448,N,IRR,N,45508,11791.0,136.0,579,3.0,30976.0,3.6,6.6,4.3,6.0,6.1,4.8,2.9,6.1,4.7,3.1,-0.98664,-1.43183,-1.01174
the conference center held several events.,several events were held by the conference center.,"hold (i.e., accomdate a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"hold (i.e., accomdate a certain number of people)",V448,N,IRR,N,45508,11791.0,136.0,579,3.0,30976.0,3.6,6.6,4.3,6.0,6.1,4.8,2.9,6.1,4.7,3.1,-0.98664,-1.43183,-1.01174
the auditorium held many guests.,many guests were held by the auditorium.,"hold (i.e., accomdate a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"hold (i.e., accomdate a certain number of people)",V448,N,IRR,N,45508,11791.0,136.0,579,3.0,30976.0,3.6,6.6,4.3,6.0,6.1,4.8,2.9,6.1,4.7,3.1,-0.98664,-1.43183,-1.01174
the banquet hall held several tables.,several tables were held by the banquet hall.,"hold (i.e., accomdate a certain number of people)",,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,"hold (i.e., accomdate a certain number of people)",V448,N,IRR,N,45508,11791.0,136.0,579,3.0,30976.0,3.6,6.6,4.3,6.0,6.1,4.8,2.9,6.1,4.7,3.1,-0.98664,-1.43183,-1.01174
the family housed a stray dog.,a stray dog was housed by the family.,house,,,TRUE,TRUE,TRUE,Measure_Verbs,Measure_Verbs,(e) Non-Passivizable,house,V449,N,REG,N,4537,1300.0,0.0,3,0.0,3090.0,6.0,7.1,7.7,7.2,4.6,4.9,3.0,7.3,4.1,3.9,-0.12674,-0.02738,-1.45935
